time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.013626,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013626,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013626,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013626,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013626,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056598,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056598,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056598,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056598,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056598,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094986,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094986,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094986,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094986,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094986,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.137375,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.137375,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.137375,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.137375,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.137375,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.179661,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.179661,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.179661,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.179661,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.179661,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219223,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219223,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219223,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219223,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219223,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.258698,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.258698,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.258698,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.258698,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.258698,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299752,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299752,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299752,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299752,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299752,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342529,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342529,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342529,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342529,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342529,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.382911,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.382911,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.382911,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.382911,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.382911,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.425937,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.425937,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.425937,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.425937,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.425937,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465156,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465156,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465156,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465156,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465156,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.507133,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.507133,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.507133,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.507133,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.507133,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
