time_aligned,sensor,v1,v2,v3
0.006459,acc,-0.284910,0.040701,9.507375
0.006459,gyro,-0.001222,-0.001222,0.002443
0.015459,acc,-0.287304,0.093374,9.488221
0.016459,gyro,0.001222,0.001222,0.000000
0.026459,acc,-0.294487,0.064643,9.562442
0.027459,gyro,0.002443,0.006109,0.000000
0.035459,acc,-0.289698,0.102951,9.569624
0.035459,gyro,0.002443,0.001222,-0.001222
0.047459,acc,-0.294487,0.098162,9.428367
0.047459,gyro,0.001222,-0.002443,0.001222
0.056459,acc,-0.225055,0.095768,9.485827
0.056459,gyro,0.001222,0.000000,0.000000
0.068459,acc,-0.270545,0.107739,9.466674
0.069459,gyro,0.000000,0.000000,0.000000
0.076459,acc,-0.256180,0.069432,9.550470
0.078459,gyro,0.001222,0.001222,0.001222
0.087459,acc,-0.311246,0.031125,9.469068
0.088459,gyro,0.001222,0.000000,0.000000
0.097459,acc,-0.272939,0.031125,9.519346
0.097459,gyro,0.002443,0.001222,0.000000
0.107459,acc,-0.294487,0.112527,9.466674
0.108459,gyro,0.000000,-0.002443,0.000000
0.115459,acc,-0.282516,0.074220,9.485827
0.115459,gyro,0.001222,-0.001222,0.000000
0.129459,acc,-0.253785,0.067038,9.533711
0.129459,gyro,0.001222,0.001222,0.001222
0.136459,acc,-0.311246,0.071826,9.540894
0.136459,gyro,0.001222,0.002443,0.000000
0.146459,acc,-0.323217,0.069432,9.502586
0.146459,gyro,0.001222,0.001222,0.000000
0.155459,acc,-0.289698,0.102951,9.521740
0.156459,gyro,0.000000,-0.001222,0.001222
0.167459,acc,-0.294487,0.057461,9.507375
0.167459,gyro,-0.001222,-0.001222,-0.001222
0.177459,acc,-0.227449,0.062249,9.483433
0.178459,gyro,0.002443,0.004887,0.000000
0.186459,acc,-0.282516,0.079009,9.548077
0.186459,gyro,0.001222,0.002443,0.001222
0.196459,acc,-0.299275,0.057461,9.512163
0.196459,gyro,0.000000,-0.002443,0.001222
0.208459,acc,-0.299275,0.095768,9.469068
0.209459,gyro,0.001222,-0.001222,0.000000
0.215459,acc,-0.241814,0.021548,9.579201
0.216459,gyro,0.000000,0.002443,0.000000
0.228459,acc,-0.256180,0.124498,9.593566
0.228459,gyro,0.001222,0.003665,0.000000
0.236459,acc,-0.265756,0.059855,9.502586
0.236459,gyro,0.000000,0.001222,0.000000
0.247459,acc,-0.282516,0.076614,9.490616
0.248459,gyro,0.001222,-0.001222,0.001222
0.257459,acc,-0.265756,0.038307,9.476251
0.258459,gyro,-0.001222,-0.002443,0.000000
0.266459,acc,-0.292093,0.079009,9.524135
0.267459,gyro,0.001222,0.001222,-0.001222
0.276459,acc,-0.260968,0.081403,9.512163
0.277459,gyro,0.001222,0.003665,0.001222
0.290459,acc,-0.311246,0.081403,9.543288
0.291459,gyro,-0.001222,-0.001222,0.000000
0.295459,acc,-0.299275,0.038307,9.569624
0.296459,gyro,0.000000,-0.002443,0.000000
0.307459,acc,-0.248997,0.062249,9.516952
0.308459,gyro,0.000000,-0.001222,-0.001222
0.318459,acc,-0.258574,0.031125,9.595961
0.318459,gyro,0.000000,0.003665,0.000000
0.327459,acc,-0.296881,0.093374,9.481039
0.327459,gyro,-0.002443,0.002443,0.000000
0.336459,acc,-0.251391,0.076614,9.562442
0.336459,gyro,0.001222,-0.002443,0.000000
0.349459,acc,-0.294487,0.043096,9.497798
0.349459,gyro,-0.001222,-0.002443,0.000000
0.356459,acc,-0.304064,0.105345,9.471462
0.356459,gyro,0.001222,0.002443,-0.001222
0.370459,acc,-0.263362,0.064643,9.483433
0.371459,gyro,0.000000,-0.001222,0.001222
0.377459,acc,-0.256180,0.079009,9.524135
0.378459,gyro,0.002443,-0.001222,0.000000
0.389459,acc,-0.294487,0.031125,9.557653
0.389459,gyro,0.001222,-0.001222,0.001222
0.397459,acc,-0.246603,0.052672,9.485827
0.397459,gyro,0.001222,0.003665,-0.001222
0.409459,acc,-0.280122,0.117316,9.543288
0.410459,gyro,0.002443,0.001222,0.000000
0.417459,acc,-0.301669,0.088585,9.507375
0.417459,gyro,-0.002443,-0.001222,-0.001222
0.428459,acc,-0.325611,0.098162,9.567230
0.428459,gyro,0.001222,0.002443,0.000000
0.438459,acc,-0.320823,0.019154,9.507375
0.439459,gyro,0.000000,0.001222,0.000000
0.448459,acc,-0.308852,0.069432,9.528923
0.448459,gyro,0.002443,0.001222,0.001222
0.458459,acc,-0.301669,0.088585,9.500193
0.458459,gyro,0.002443,0.000000,0.000000
0.468459,acc,-0.335188,0.086191,9.519346
0.468459,gyro,-0.001222,0.000000,0.001222
0.476459,acc,-0.289698,0.074220,9.569624
0.477459,gyro,0.002443,0.001222,0.000000
0.488459,acc,-0.253785,0.047884,9.524135
0.489459,gyro,0.002443,0.000000,0.001222
0.496459,acc,-0.313640,0.079009,9.533711
0.496459,gyro,0.001222,0.001222,-0.001222
0.507459,acc,-0.282516,0.047884,9.509769
0.507459,gyro,0.001222,-0.002443,-0.001222
0.519459,acc,-0.308852,0.069432,9.552865
0.519459,gyro,0.000000,0.001222,0.000000
0.528459,acc,-0.251391,0.079009,9.507375
0.529459,gyro,0.001222,0.003665,0.000000
0.538459,acc,-0.294487,0.119710,9.548077
0.538459,gyro,-0.002443,0.000000,0.001222
0.551459,acc,-0.284910,0.057461,9.526528
0.551459,gyro,0.000000,-0.004887,-0.001222
0.557459,acc,-0.296881,0.064643,9.528923
0.557459,gyro,0.000000,-0.001222,0.000000
0.568459,acc,-0.275333,0.074220,9.543288
0.568459,gyro,0.002443,0.003665,0.001222
0.579459,acc,-0.258574,0.045490,9.524135
0.579459,gyro,0.000000,-0.001222,0.000000
0.588459,acc,-0.304064,0.093374,9.557653
0.589459,gyro,0.000000,-0.002443,-0.001222
0.598459,acc,-0.258574,0.071826,9.507375
0.599459,gyro,0.000000,-0.001222,0.000000
0.609459,acc,-0.268151,0.107739,9.591172
0.610459,gyro,-0.001222,0.001222,0.000000
0.618459,acc,-0.253785,0.098162,9.512163
0.618459,gyro,0.002443,0.003665,0.001222
