timestamp_sec,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
5.044752,thumb,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,-16.372,-20.626,-10.780
5.044752,index,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,5.367,-32.684,16.393
5.044752,middle,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.372,-39.940,22.111
5.044752,ring,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,33.462,-31.257,29.197
5.044752,pinky,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,27.583,-21.046,38.793
5.117579,thumb,Left,1,83.4326,-62.0380,157.4882,0.009843,-0.128104,-0.129238,-19.034,-24.469,-12.565
5.117579,index,Left,1,-18.7621,-28.0363,229.9214,0.031829,-0.647881,-5.783289,6.722,-36.260,21.225
5.117579,middle,Left,1,9.8994,-76.6727,208.9552,0.208984,-0.061135,-0.000993,27.284,-42.483,27.443
5.117579,ring,Left,1,-68.9922,-42.3624,272.5488,0.174577,-0.035464,0.313906,34.904,-33.737,36.170
5.117579,pinky,Left,1,-77.9940,41.1453,151.2794,0.267410,-0.067282,0.220461,29.098,-21.680,43.136
5.160289,thumb,Left,1,11.5105,-53.3927,-6.3301,0.056859,-0.123607,-0.217729,-19.234,-25.253,-11.930
5.160289,index,Left,1,-25.9926,-58.7396,99.3809,0.303585,-0.612419,-5.197872,7.250,-36.836,23.371
5.160289,middle,Left,1,13.5742,-34.6069,66.2199,0.216053,0.008395,0.178785,27.049,-43.161,28.855
5.160289,ring,Left,1,-8.7788,-37.5269,56.5145,0.301257,0.075481,0.703018,34.830,-34.179,37.515
5.160289,pinky,Left,1,17.8034,14.9514,5.2534,0.355574,0.050509,0.405820,29.612,-21.830,43.130
5.199779,thumb,Left,1,26.3797,-66.8231,-25.9657,0.147863,-0.193973,-0.864874,-20.221,-26.817,-11.306
5.199779,index,Left,1,-30.9379,-76.8399,152.7555,0.798039,-0.634300,-4.621507,8.298,-38.413,27.454
5.199779,middle,Left,1,14.2364,-60.3224,113.5194,0.363215,0.048287,0.559879,26.589,-44.754,32.416
5.199779,ring,Left,1,-42.3413,-41.8775,100.8747,0.523055,0.091260,1.348905,35.173,-35.181,41.588
5.199779,pinky,Left,1,-6.9920,11.2737,7.8088,0.621200,0.085409,0.868403,30.088,-21.803,44.696
5.241231,thumb,Left,1,-37.2508,-78.9472,-183.9100,0.196764,-0.101972,-1.040362,-19.548,-26.471,-9.295
5.241231,index,Left,1,-21.6970,-92.6651,-1.2981,0.642418,-0.475473,-3.572159,8.229,-38.066,28.107
5.241231,middle,Left,1,49.8436,-13.3543,-32.0079,0.232417,0.277629,1.098656,26.171,-45.207,32.181
5.241231,ring,Left,1,7.8188,-60.1857,-108.0768,0.572689,0.175722,1.355412,34.590,-34.572,41.170
5.241231,pinky,Left,1,65.1005,-54.0381,-122.5595,0.585970,0.294986,1.008794,29.737,-21.531,43.281
5.282100,thumb,Left,1,-16.5033,-61.6596,-170.4246,0.255085,-0.064675,-1.250569,-19.979,-26.877,-8.160
5.282100,index,Left,1,-2.4555,-41.1763,-63.5894,0.561425,-0.388112,-2.927158,8.239,-38.509,28.422
5.282100,middle,Left,1,56.1701,16.0135,-57.0166,0.197699,0.269284,1.013984,26.175,-45.833,32.445
5.282100,ring,Left,1,18.5744,-37.4486,-130.3943,0.496089,0.127875,1.184876,34.637,-34.534,41.383
5.282100,pinky,Left,1,50.3893,-68.0318,-110.0600,0.543264,0.326638,0.966447,29.614,-21.666,42.959
5.323841,thumb,Left,1,-57.6745,-31.8219,-154.4930,0.254259,-0.045704,-1.101056,-20.124,-27.612,-7.866
5.323841,index,Left,1,29.5885,-6.5512,-216.2942,0.543285,-0.296766,-2.468099,7.881,-38.624,28.828
5.323841,middle,Left,1,63.8019,58.7920,-172.0916,0.218010,0.267463,1.052790,25.945,-46.062,32.980
5.323841,ring,Left,1,71.0014,-28.6971,-262.4751,0.463532,0.051538,0.937741,34.558,-34.274,41.529
5.323841,pinky,Left,1,98.4082,-79.6901,-132.2254,0.437270,0.316460,0.775024,30.006,-21.917,42.618
5.367276,thumb,Left,1,-41.2362,17.2888,-62.0228,0.229268,-0.033993,-0.765823,-20.260,-27.632,-7.673
5.367276,index,Left,1,27.8568,7.0867,-177.3493,0.485401,-0.215254,-1.890591,7.740,-38.508,29.222
5.367276,middle,Left,1,16.1461,33.9226,-126.1884,0.226183,0.187385,0.853997,25.653,-45.920,33.637
5.367276,ring,Left,1,61.8760,-8.0985,-177.9788,0.386596,0.014455,0.719105,34.490,-34.238,41.691
5.367276,pinky,Left,1,53.1885,-31.5378,-63.4473,0.326995,0.235725,0.593373,30.323,-21.737,42.655
5.405568,thumb,Left,1,-88.1197,42.9737,-15.1951,0.174580,-0.110637,-0.829699,-19.961,-27.770,-7.989
5.405568,index,Left,1,34.9507,-14.7905,-175.5145,0.420804,-0.095307,-1.212753,7.254,-38.257,29.147
5.405568,middle,Left,1,0.5214,7.8885,-127.4244,0.233435,0.227901,0.945420,25.283,-45.848,33.746
5.405568,ring,Left,1,48.9864,-8.4009,-157.1875,0.334562,-0.006117,0.517558,34.451,-34.005,41.642
5.405568,pinky,Left,1,32.6151,-22.4950,-64.3022,0.293610,0.161922,0.436568,30.135,-21.499,42.318
6.100122,thumb,Left,1,-4.3285,-3.8809,-5.1257,-0.042531,0.012847,-0.073216,-20.113,-27.023,-9.844
6.100122,index,Left,1,-5.7741,-20.2289,23.3591,-0.022914,-0.008550,-0.188099,6.982,-38.372,29.394
6.100122,middle,Left,1,-26.1288,-10.0119,16.4280,-0.010640,0.003559,-0.021009,24.155,-46.048,33.852
6.100122,ring,Left,1,-7.0792,6.8119,8.2190,-0.016138,-0.005073,0.034045,33.735,-34.515,42.614
6.100122,pinky,Left,1,-0.5078,13.1592,-3.0031,0.049682,0.003678,0.025138,29.604,-22.161,43.405
6.140220,thumb,Left,1,-8.7374,4.0554,28.0168,-0.027058,0.021036,0.083541,-20.088,-27.015,-10.131
6.140220,index,Left,1,-2.4329,-12.1916,15.5928,-0.000028,-0.003932,-0.154948,7.005,-38.196,29.345
6.140220,middle,Left,1,-27.7846,-21.4584,20.2160,0.001322,-0.033044,-0.124524,24.031,-45.771,33.942
6.140220,ring,Left,1,-16.5610,-3.4948,14.8301,-0.005831,-0.021942,0.012566,33.521,-34.407,42.678
6.140220,pinky,Left,1,-8.7289,4.4328,6.3302,0.037091,-0.009428,0.012991,29.364,-22.167,43.441
6.182320,thumb,Left,1,-10.9126,-8.1488,16.5470,-0.023934,-0.008453,0.005955,-20.090,-27.261,-10.051
6.182320,index,Left,1,9.2242,-14.2497,-5.8081,0.007392,0.027110,0.023340,6.796,-38.310,29.371
6.182320,middle,Left,1,-4.6096,-7.6058,-6.5036,0.022076,0.013023,-0.015773,23.945,-45.908,33.850
6.182320,ring,Left,1,-3.3329,2.0837,4.0629,0.006584,-0.006246,-0.002043,33.670,-34.571,42.697
6.182320,pinky,Left,1,-3.5647,7.4269,-15.0756,0.026448,-0.036179,-0.021088,29.565,-21.951,43.427
6.222622,thumb,Left,1,16.4179,-8.6507,3.3274,-0.023330,0.030332,0.152224,-20.221,-27.181,-9.921
6.222622,index,Left,1,0.4560,-4.8023,0.1155,0.009621,0.012020,0.036272,6.909,-38.179,29.455
6.222622,middle,Left,1,-17.8549,0.1164,4.4433,0.001461,-0.009194,-0.026036,24.089,-45.656,34.031
6.222622,ring,Left,1,-2.6732,5.4903,-2.7970,0.004954,-0.013180,-0.034128,33.664,-34.420,42.671
6.222622,pinky,Left,1,-4.8816,7.5830,-7.7926,0.016384,-0.029240,-0.033379,29.480,-21.958,43.393
6.263780,thumb,Left,1,19.4878,-15.7962,-22.1244,-0.048597,0.029138,-0.123851,-20.144,-26.965,-9.562
6.263780,index,Left,1,1.6496,2.0409,-3.7229,-0.049295,-0.003180,-0.032085,6.917,-38.076,29.241
6.263780,middle,Left,1,0.2186,11.2923,3.0387,-0.006632,0.033309,0.078139,24.078,-45.696,33.811
6.263780,ring,Left,1,7.8711,20.6558,-8.5447,-0.025876,0.013910,-0.029217,33.838,-34.378,42.418
6.263780,pinky,Left,1,2.8001,14.4460,-9.8617,0.009695,0.018441,0.043024,29.488,-21.919,43.301
6.305567,thumb,Left,1,17.3318,-2.3708,-13.4708,-0.015360,0.030653,-0.032007,-20.327,-27.108,-9.690
6.305567,index,Left,1,-9.2622,-0.2588,-1.2415,-0.019141,-0.014790,-0.120167,6.976,-38.105,29.325
6.305567,middle,Left,1,-14.9338,5.7533,11.1057,-0.006479,-0.016815,-0.033876,24.106,-45.661,34.137
6.305567,ring,Left,1,-5.7627,8.1237,-10.5297,-0.021895,-0.012852,-0.055771,33.749,-34.250,42.568
6.305567,pinky,Left,1,6.6491,-1.1020,4.1557,0.013610,0.025106,0.015756,29.471,-22.121,43.340
6.345358,thumb,Left,1,20.9121,-19.2037,3.2288,0.000986,0.011303,-0.044794,-20.447,-27.582,-9.521
6.345358,index,Left,1,2.0024,5.6141,4.6440,0.021710,-0.000770,-0.008561,6.922,-38.216,29.448
6.345358,middle,Left,1,1.5322,-4.1226,27.8217,0.035193,-0.013146,0.006404,23.998,-45.887,34.560
6.345358,ring,Left,1,3.7334,6.3275,-1.2024,0.009679,-0.004890,-0.048884,33.764,-34.361,42.563
6.345358,pinky,Left,1,1.0555,11.3553,2.4120,0.015816,-0.039322,-0.049035,29.607,-21.949,43.430
6.386586,thumb,Left,1,30.5765,-25.1414,34.1506,0.040363,-0.003390,0.070896,-20.662,-28.170,-9.480
6.386586,index,Left,1,10.5514,14.8305,20.4218,0.055376,0.019423,0.147721,6.838,-38.610,29.450
6.386586,middle,Left,1,0.7187,1.0850,32.7740,0.041382,-0.028483,-0.044510,24.131,-46.111,34.513
6.386586,ring,Left,1,3.0013,-1.2653,16.3212,0.049441,-0.029150,-0.089877,33.832,-34.588,42.679
6.386586,pinky,Left,1,5.1964,9.6897,1.2787,0.067225,-0.059650,-0.089397,29.672,-21.960,43.254
6.431180,thumb,Left,1,18.0810,-29.9804,2.8582,0.030461,0.023016,0.061833,-20.465,-27.990,-8.992
6.431180,index,Left,1,10.8068,1.5099,4.7883,0.037846,0.022881,0.203836,6.702,-38.236,29.415
6.431180,middle,Left,1,4.8953,5.8906,8.3222,0.026258,-0.002553,0.039422,24.173,-45.868,34.330
6.431180,ring,Left,1,12.4006,2.6391,3.9294,0.042380,-0.019419,-0.076841,33.815,-34.526,42.435
6.431180,pinky,Left,1,-3.2968,6.7265,-15.9486,0.040755,-0.077382,-0.092123,29.492,-21.687,43.091
6.468547,thumb,Left,1,-9.1396,16.1830,5.2038,0.004667,0.011716,0.063717,-20.532,-27.755,-9.534
6.468547,index,Left,1,1.7118,12.1012,2.4873,-0.001506,0.008337,0.172054,6.845,-38.464,29.385
6.468547,middle,Left,1,6.4236,27.0975,-18.5493,0.004376,-0.018357,0.054965,24.403,-45.889,34.132
6.468547,ring,Left,1,-8.4107,5.6652,19.8038,0.013088,-0.068744,-0.084923,33.944,-34.512,42.927
6.468547,pinky,Left,1,3.6197,-5.8998,11.2221,0.078615,-0.002802,0.018659,29.503,-22.049,43.369
6.510310,thumb,Left,1,-3.0325,18.7919,17.3932,0.020516,-0.024943,0.072201,-20.958,-28.504,-9.791
6.510310,index,Left,1,2.5085,9.2947,22.5688,0.048465,0.018116,0.261547,6.807,-39.142,29.846
6.510310,middle,Left,1,1.8597,20.6770,13.5464,0.010717,-0.029715,0.051535,24.654,-46.510,34.709
6.510310,ring,Left,1,-11.2271,15.5430,26.5982,0.017803,-0.069367,-0.062388,34.333,-34.785,43.313
6.510310,pinky,Left,1,9.2802,20.6373,27.6791,0.075588,0.037390,0.029815,30.281,-22.292,43.573
6.550830,thumb,Left,1,4.2962,31.1290,48.5783,0.007459,-0.030354,0.079537,-21.202,-28.672,-10.138
6.550830,index,Left,1,1.7575,33.1037,35.8811,0.023257,0.016804,0.205970,6.934,-39.530,29.844
6.550830,middle,Left,1,11.0043,21.5813,28.7458,0.002583,-0.024829,0.033475,24.780,-46.767,34.712
6.550830,ring,Left,1,-9.8938,22.2598,37.6371,-0.001458,-0.047434,-0.063683,34.608,-34.923,43.406
6.550830,pinky,Left,1,14.7653,26.6461,46.1175,0.088809,0.059910,0.056131,30.469,-22.500,43.759
6.592360,thumb,Left,1,7.7392,10.4270,29.3002,0.029086,-0.004736,0.060405,-21.179,-28.536,-10.306
6.592360,index,Left,1,3.6551,1.0914,19.5229,0.056357,0.004136,0.056694,6.828,-39.150,29.957
6.592360,middle,Left,1,-0.6779,-1.7902,29.2960,-0.005018,-0.059134,-0.118788,24.716,-46.590,34.926
6.592360,ring,Left,1,10.4852,7.6900,4.8373,0.006249,-0.007216,0.002791,34.417,-34.938,43.172
6.592360,pinky,Left,1,20.3889,17.2349,13.8607,0.023760,0.077705,0.053547,30.422,-22.628,43.488
6.632545,thumb,Left,1,-47.1273,42.1949,-29.5464,-0.033936,0.039875,0.083104,-20.637,-27.501,-10.551
6.632545,index,Left,1,-15.6773,-46.4057,-35.3834,0.033210,-0.002919,-0.134940,6.780,-38.114,29.967
6.632545,middle,Left,1,-19.9370,-28.6332,-35.7743,-0.016481,-0.055214,-0.129274,24.342,-45.791,34.862
6.632545,ring,Left,1,1.2995,-20.4163,-34.4045,-0.034463,0.005845,-0.000513,34.029,-34.581,42.963
6.632545,pinky,Left,1,-9.9174,-34.9376,-9.4986,-0.034267,0.041918,0.051117,29.788,-22.549,43.497
6.674118,thumb,Left,1,-54.7961,29.4356,-47.2870,-0.027416,0.058043,0.101250,-20.362,-27.238,-10.562
6.674118,index,Left,1,-22.7140,-61.7141,-46.5280,0.031896,-0.042024,-0.271350,6.967,-37.680,29.898
6.674118,middle,Left,1,-24.7342,-31.6839,-44.4808,-0.034019,-0.069261,-0.179932,24.300,-45.575,34.750
6.674118,ring,Left,1,3.0640,-33.6061,-46.6621,-0.027817,0.019071,0.043332,33.803,-34.518,42.671
6.674118,pinky,Left,1,-1.9751,-39.6923,-23.9185,-0.054602,0.059636,0.039919,29.726,-22.651,43.221
6.714973,thumb,Left,1,-46.2165,11.8225,-52.8356,-0.031691,0.060559,0.046941,-20.104,-27.050,-10.312
6.714973,index,Left,1,-16.2636,-39.2544,-30.4697,0.012663,-0.013696,-0.208436,6.893,-37.614,30.018
6.714973,middle,Left,1,-13.7982,-29.8013,-35.6698,-0.015951,-0.065393,-0.164748,24.074,-45.483,34.925
6.714973,ring,Left,1,-6.4220,-26.8092,-28.0022,-0.044973,0.012068,0.042181,33.644,-34.489,42.759
6.714973,pinky,Left,1,-27.1575,-30.8925,-15.2000,-0.066363,0.021857,0.049063,29.437,-22.470,43.472
6.756198,thumb,Left,1,19.3917,-42.9991,-3.1215,0.026307,0.024936,-0.001956,-20.346,-27.959,-9.992
6.756198,index,Left,1,7.0060,41.9934,7.5462,-0.041339,0.002008,0.059771,6.930,-38.625,29.691
6.756198,middle,Left,1,27.5811,19.8304,9.3674,-0.001974,-0.022868,-0.041814,24.426,-46.267,34.685
