time_aligned,sensor,v1,v2,v3
0.001682,acc,-0.045490,0.071826,9.507375
0.002682,gyro,-0.003665,-0.002443,0.000000
0.012682,acc,-0.011971,0.083797,9.579201
0.012682,gyro,0.001222,0.001222,0.000000
0.021682,acc,-0.081403,0.074220,9.543288
0.022682,gyro,-0.003665,0.002443,0.000000
0.033682,acc,-0.040701,0.047884,9.533711
0.033682,gyro,0.000000,0.001222,-0.001222
0.041682,acc,-0.026336,0.059855,9.543288
0.042682,gyro,0.001222,-0.004887,0.001222
0.052682,acc,-0.095768,0.043096,9.512163
0.052682,gyro,0.000000,-0.003665,0.000000
0.061682,acc,-0.026336,0.033519,9.521740
0.062682,gyro,0.001222,0.001222,0.000000
0.073682,acc,-0.086191,0.045490,9.548077
0.073682,gyro,0.001222,0.000000,0.000000
0.081682,acc,-0.079009,0.043096,9.507375
0.081682,gyro,0.001222,-0.001222,0.000000
0.092682,acc,-0.057461,0.062249,9.512163
0.092682,gyro,0.000000,-0.001222,0.001222
0.102682,acc,-0.090980,0.079009,9.545682
0.102682,gyro,0.001222,-0.003665,0.000000
0.114682,acc,0.002394,0.057461,9.445126
0.114682,gyro,-0.001222,0.000000,-0.001222
0.121682,acc,0.000000,0.045490,9.548077
0.122682,gyro,0.002443,0.003665,0.000000
0.133682,acc,-0.112527,0.045490,9.466674
0.134682,gyro,0.001222,-0.001222,-0.001222
0.140682,acc,-0.040701,0.059855,9.497798
0.141682,gyro,0.001222,-0.003665,0.000000
0.153682,acc,-0.055067,0.028730,9.504981
0.153682,gyro,0.001222,-0.002443,0.000000
0.161682,acc,-0.031125,0.062249,9.490616
0.162682,gyro,-0.001222,0.000000,-0.001222
0.174682,acc,-0.081403,0.050278,9.600749
0.174682,gyro,0.002443,0.003665,0.000000
0.180682,acc,-0.074220,0.067038,9.497798
0.180682,gyro,0.000000,-0.001222,0.000000
0.192682,acc,-0.059855,0.047884,9.531317
0.192682,gyro,0.002443,-0.004887,-0.001222
0.202682,acc,-0.021548,0.016759,9.507375
0.202682,gyro,0.001222,-0.003665,0.000000
0.212682,acc,-0.052672,0.081403,9.574412
0.212682,gyro,-0.001222,0.002443,0.000000
0.221682,acc,-0.090980,0.071826,9.567230
0.222682,gyro,-0.001222,0.001222,0.000000
0.233682,acc,-0.002394,0.081403,9.557653
0.233682,gyro,-0.002443,-0.002443,0.000000
0.241682,acc,-0.033519,0.102951,9.567230
0.241682,gyro,0.000000,-0.006109,0.000000
0.252682,acc,-0.023942,0.045490,9.521740
0.252682,gyro,-0.001222,-0.002443,0.000000
0.263682,acc,-0.035913,0.028730,9.560047
0.264682,gyro,0.000000,0.002443,0.001222
0.274682,acc,-0.055067,0.069432,9.509769
0.275682,gyro,0.002443,0.002443,0.000000
0.281682,acc,-0.059855,0.057461,9.552865
0.282682,gyro,0.000000,-0.004887,0.000000
0.292682,acc,0.016759,0.057461,9.449914
0.292682,gyro,0.000000,-0.006109,0.000000
0.301682,acc,-0.040701,0.052672,9.586384
0.301682,gyro,0.002443,0.001222,0.000000
0.314682,acc,-0.074220,0.088585,9.536105
0.314682,gyro,0.000000,0.006109,-0.001222
0.323682,acc,-0.026336,0.071826,9.531317
0.324682,gyro,0.000000,-0.001222,0.001222
0.332682,acc,-0.028730,0.047884,9.562442
0.333682,gyro,-0.001222,-0.002443,0.001222
0.341682,acc,-0.021548,0.057461,9.524135
0.342682,gyro,0.000000,-0.004887,0.000000
0.354682,acc,-0.105345,0.057461,9.564836
0.354682,gyro,0.000000,0.004887,0.000000
0.364682,acc,-0.002394,0.110133,9.536105
0.364682,gyro,0.001222,0.001222,0.000000
0.374682,acc,-0.057461,0.093374,9.579201
0.374682,gyro,0.001222,-0.003665,0.001222
0.383682,acc,-0.021548,0.052672,9.531317
0.384682,gyro,-0.001222,-0.008552,0.000000
0.394682,acc,-0.043096,0.055067,9.536105
0.394682,gyro,-0.001222,0.001222,0.000000
0.403682,acc,-0.031125,0.052672,9.595961
0.403682,gyro,0.001222,0.006109,0.000000
0.415682,acc,-0.050278,0.098162,9.557653
0.416682,gyro,-0.002443,-0.001222,0.000000
0.423682,acc,-0.019154,0.045490,9.543288
0.424682,gyro,0.001222,-0.004887,0.000000
0.437682,acc,-0.093374,0.050278,9.514558
0.438682,gyro,-0.001222,-0.001222,0.000000
0.442682,acc,-0.035913,0.071826,9.528923
0.442682,gyro,0.000000,0.002443,0.000000
0.453682,acc,-0.090980,0.086191,9.507375
0.454682,gyro,0.000000,0.003665,0.000000
0.464682,acc,-0.031125,0.043096,9.574412
0.464682,gyro,-0.001222,-0.003665,0.000000
0.474682,acc,-0.016759,0.031125,9.562442
0.474682,gyro,0.001222,-0.004887,0.000000
0.482682,acc,-0.040701,0.045490,9.569624
0.483682,gyro,0.000000,-0.002443,0.000000
0.494682,acc,-0.052672,0.074220,9.593566
0.495682,gyro,0.001222,0.003665,0.000000
0.503682,acc,-0.040701,0.011971,9.583989
0.503682,gyro,0.002443,-0.001222,0.000000
0.516682,acc,-0.026336,0.090980,9.555259
0.516682,gyro,0.000000,-0.002443,0.000000
0.523682,acc,0.026336,0.067038,9.464279
0.524682,gyro,0.001222,0.002443,0.001222
0.534682,acc,-0.019154,-0.007183,9.543288
0.534682,gyro,0.002443,0.001222,-0.001222
0.545682,acc,-0.011971,0.088585,9.516952
0.546682,gyro,0.002443,-0.002443,0.000000
0.554682,acc,-0.035913,0.076614,9.483433
0.555682,gyro,-0.002443,-0.003665,0.000000
0.563682,acc,-0.069432,0.081403,9.543288
0.564682,gyro,0.001222,0.001222,0.000000
0.575682,acc,-0.011971,0.088585,9.531317
0.575682,gyro,0.000000,-0.001222,0.000000
0.584682,acc,-0.002394,0.016759,9.574412
0.585682,gyro,0.002443,-0.003665,0.001222
0.595682,acc,-0.038307,0.062249,9.540894
0.595682,gyro,-0.001222,0.001222,0.000000
0.604682,acc,-0.045490,0.100556,9.560047
0.604682,gyro,0.001222,0.002443,0.000000
0.616682,acc,-0.007183,0.031125,9.512163
0.616682,gyro,0.002443,0.001222,0.000000
0.624682,acc,0.014365,0.035913,9.543288
0.625682,gyro,-0.001222,-0.002443,0.000000
0.634682,acc,-0.035913,0.047884,9.471462
0.635682,gyro,0.003665,-0.003665,0.000000
0.644682,acc,-0.052672,0.064643,9.524135
0.644682,gyro,0.000000,0.001222,0.001222
0.656682,acc,-0.007183,0.062249,9.586384
0.656682,gyro,0.000000,0.002443,0.000000
0.665682,acc,-0.062249,0.067038,9.562442
0.665682,gyro,0.000000,-0.003665,0.001222
0.674682,acc,-0.031125,0.052672,9.507375
0.674682,gyro,-0.002443,-0.002443,0.000000
0.684682,acc,-0.035913,0.102951,9.550470
0.684682,gyro,0.001222,0.002443,-0.001222
0.695682,acc,-0.007183,0.081403,9.533711
0.696682,gyro,0.000000,0.004887,0.000000
0.704682,acc,-0.023942,0.093374,9.548077
0.704682,gyro,0.000000,0.000000,0.000000
0.714682,acc,-0.038307,0.067038,9.574412
0.714682,gyro,0.002443,-0.004887,0.000000
0.724682,acc,-0.040701,0.064643,9.560047
0.725682,gyro,0.000000,-0.003665,0.000000
0.736682,acc,-0.011971,0.057461,9.473856
0.736682,gyro,0.001222,0.003665,0.000000
0.745682,acc,-0.071826,0.083797,9.562442
0.745682,gyro,0.001222,0.002443,0.000000
0.757682,acc,-0.045490,0.043096,9.449914
0.757682,gyro,0.000000,-0.004887,-0.001222
0.765682,acc,0.016759,0.083797,9.579201
0.765682,gyro,0.002443,-0.002443,0.000000
0.776682,acc,-0.016759,0.021548,9.581595
0.776682,gyro,0.001222,-0.001222,0.000000
0.786682,acc,-0.093374,0.031125,9.624691
0.787682,gyro,0.000000,0.000000,-0.001222
0.796682,acc,-0.117316,0.035913,9.540894
0.797682,gyro,0.001222,0.001222,0.000000
0.806682,acc,-0.016759,0.019154,9.461885
0.806682,gyro,0.000000,-0.001222,0.000000
0.817682,acc,-0.002394,0.031125,9.579201
0.817682,gyro,0.002443,-0.002443,0.000000
0.824682,acc,-0.031125,0.095768,9.440337
0.826682,gyro,0.001222,-0.002443,0.000000
0.836682,acc,-0.045490,0.035913,9.459491
0.836682,gyro,0.000000,0.006109,-0.001222
0.845682,acc,-0.002394,0.057461,9.512163
0.846682,gyro,0.000000,0.001222,0.000000
0.855682,acc,-0.069432,0.052672,9.560047
0.855682,gyro,0.001222,-0.007330,0.000000
0.865682,acc,-0.014365,0.028730,9.524135
0.866682,gyro,0.003665,-0.004887,-0.001222
0.877682,acc,0.007183,0.095768,9.524135
0.877682,gyro,-0.001222,0.002443,0.000000
0.884682,acc,-0.016759,0.047884,9.516952
0.885682,gyro,0.003665,0.007330,0.001222
0.896682,acc,-0.040701,0.000000,9.464279
0.896682,gyro,0.000000,-0.002443,0.000000
0.904682,acc,-0.014365,0.076614,9.538500
0.904682,gyro,0.001222,-0.007330,0.000000
0.918682,acc,-0.064643,0.074220,9.497798
0.918682,gyro,-0.003665,0.003665,0.000000
0.925682,acc,-0.031125,0.088585,9.545682
0.925682,gyro,-0.002443,0.007330,0.000000
0.936682,acc,0.004788,0.098162,9.540894
0.937682,gyro,0.001222,0.001222,0.000000
0.946682,acc,-0.026336,0.098162,9.612720
0.946682,gyro,-0.002443,-0.008552,0.000000
0.957682,acc,-0.064643,0.057461,9.552865
0.957682,gyro,0.000000,-0.004887,0.000000
0.966682,acc,-0.038307,0.069432,9.531317
0.966682,gyro,0.000000,0.006109,-0.001222
0.977682,acc,-0.081403,0.059855,9.595961
0.977682,gyro,0.000000,0.007330,0.000000
0.985682,acc,-0.040701,0.122104,9.531317
0.986682,gyro,0.000000,-0.007330,0.000000
0.996682,acc,-0.079009,0.045490,9.497798
0.997682,gyro,-0.001222,-0.007330,0.000000
1.006682,acc,-0.031125,0.062249,9.555259
1.007682,gyro,0.002443,0.003665,0.000000
1.016682,acc,-0.040701,0.102951,9.548077
1.016682,gyro,-0.001222,0.006109,0.001222
1.027682,acc,-0.047884,0.047884,9.548077
1.028682,gyro,0.001222,-0.004887,0.000000
1.038682,acc,-0.011971,0.074220,9.545682
1.038682,gyro,0.000000,-0.006109,0.000000
1.046682,acc,-0.021548,0.043096,9.612720
1.047682,gyro,0.000000,-0.002443,0.001222
1.057682,acc,-0.035913,0.055067,9.591172
1.057682,gyro,0.000000,0.002443,0.000000
1.066682,acc,-0.064643,0.040701,9.516952
1.067682,gyro,0.001222,0.000000,0.000000
1.078682,acc,-0.023942,0.035913,9.512163
1.079682,gyro,0.001222,-0.003665,0.000000
1.086682,acc,-0.026336,0.088585,9.567230
1.087682,gyro,0.001222,-0.002443,0.001222
1.096682,acc,-0.009577,0.119710,9.600749
1.096682,gyro,0.002443,0.002443,0.000000
1.105682,acc,-0.057461,0.062249,9.569624
1.105682,gyro,0.001222,-0.003665,0.000000
1.118682,acc,-0.062249,0.021548,9.550470
1.118682,gyro,-0.001222,-0.002443,0.001222
1.126682,acc,-0.038307,0.057461,9.538500
1.126682,gyro,0.001222,0.002443,-0.001222
1.137682,acc,-0.019154,0.095768,9.569624
1.137682,gyro,0.001222,0.002443,0.000000
1.146682,acc,-0.040701,0.057461,9.507375
1.147682,gyro,0.001222,-0.003665,0.000000
1.158682,acc,-0.014365,0.098162,9.567230
1.158682,gyro,0.000000,-0.003665,-0.001222
1.167682,acc,-0.062249,0.076614,9.497798
1.167682,gyro,0.001222,0.002443,0.000000
1.177682,acc,0.004788,0.083797,9.531317
1.178682,gyro,0.000000,0.002443,0.001222
1.187682,acc,-0.059855,0.069432,9.579201
1.188682,gyro,0.001222,-0.003665,0.000000
1.196682,acc,-0.040701,0.055067,9.543288
1.197682,gyro,0.001222,-0.007330,0.000000
1.208682,acc,-0.021548,0.090980,9.550470
1.208682,gyro,0.000000,0.001222,0.000000
1.218682,acc,-0.057461,0.088585,9.526528
1.218682,gyro,0.002443,0.006109,0.001222
1.227682,acc,-0.074220,0.052672,9.574412
1.228682,gyro,0.000000,-0.003665,-0.001222
1.239682,acc,-0.038307,0.114922,9.466674
1.240682,gyro,0.001222,-0.007330,0.000000
1.246682,acc,0.004788,0.071826,9.512163
1.246682,gyro,0.001222,0.001222,0.000000
1.257682,acc,-0.047884,0.069432,9.610326
1.257682,gyro,0.000000,0.003665,0.000000
1.266682,acc,-0.083797,0.086191,9.516952
1.266682,gyro,0.000000,0.002443,0.000000
1.278682,acc,-0.076614,0.011971,9.521740
1.278682,gyro,0.000000,-0.002443,0.000000
1.287682,acc,-0.057461,0.064643,9.574412
1.287682,gyro,0.000000,-0.006109,-0.001222
1.297682,acc,-0.004788,0.093374,9.574412
1.298682,gyro,-0.001222,0.000000,0.000000
1.307682,acc,-0.074220,0.047884,9.493010
1.307682,gyro,0.000000,0.004887,0.000000
1.317682,acc,-0.074220,0.095768,9.521740
1.317682,gyro,0.000000,0.001222,0.000000
1.328682,acc,-0.050278,0.079009,9.538500
1.328682,gyro,0.000000,-0.006109,0.000000
1.338682,acc,-0.021548,0.045490,9.495404
1.339682,gyro,0.000000,-0.004887,0.000000
1.348682,acc,-0.050278,0.031125,9.516952
1.348682,gyro,0.002443,0.002443,0.000000
1.358682,acc,-0.076614,0.047884,9.526528
1.359682,gyro,0.001222,0.003665,0.000000
1.366682,acc,-0.081403,0.062249,9.493010
1.367682,gyro,-0.002443,0.001222,0.001222
1.377682,acc,-0.035913,0.057461,9.540894
1.378682,gyro,0.002443,-0.003665,0.000000
1.388682,acc,-0.019154,0.059855,9.605537
1.388682,gyro,-0.001222,-0.007330,0.000000
1.400682,acc,-0.011971,0.079009,9.548077
1.401682,gyro,0.000000,0.003665,-0.001222
1.406682,acc,-0.050278,0.086191,9.545682
1.406682,gyro,0.001222,0.007330,0.000000
1.419682,acc,-0.045490,0.071826,9.545682
1.419682,gyro,-0.001222,0.000000,-0.001222
1.426682,acc,-0.011971,0.057461,9.504981
1.427682,gyro,0.001222,-0.008552,0.001222
1.439682,acc,0.011971,0.052672,9.490616
1.440682,gyro,-0.001222,-0.003665,0.000000
1.447682,acc,-0.067038,0.028730,9.536105
1.447682,gyro,0.002443,0.006109,0.001222
1.458682,acc,-0.059855,0.079009,9.519346
1.458682,gyro,0.000000,0.000000,0.000000
1.468682,acc,-0.035913,0.033519,9.536105
1.468682,gyro,0.001222,-0.006109,0.001222
1.480682,acc,-0.055067,0.045490,9.521740
1.480682,gyro,0.001222,-0.003665,0.000000
1.489682,acc,0.007183,0.045490,9.469068
1.489682,gyro,0.002443,0.002443,0.000000
1.498682,acc,-0.021548,0.052672,9.514558
