timestamp_sec,detected,x_px,y_px,x_norm,y_norm,pos_x_mm,pos_y_mm,pos_z_mm,local_x_mm,local_y_mm,local_z_mm,calibrated,global_x_mm,global_y_mm,height_mm,frame_x_mm,frame_y_mm
5.988521,1,852,337,0.665890,0.468257,-44.316,-45.804,-39.506,-83.151,-168.463,-98.348,1,-34.308,-29.006,-237.633,265.731,105.107
6.057340,1,837,339,0.654548,0.471722,-45.735,-45.657,-41.063,-85.676,-163.500,-93.597,1,-38.986,-28.382,-264.129,261.053,105.731
6.125659,1,820,331,0.640818,0.460308,-47.177,-46.159,-40.618,-90.743,-167.880,-90.977,1,-44.289,-30.877,-248.104,255.751,103.236
6.194907,1,802,316,0.626805,0.439788,-48.106,-46.188,-41.481,-95.560,-177.685,-115.626,1,-49.903,-35.556,-219.170,250.137,98.558
6.263514,1,788,304,0.616067,0.423091,-49.729,-46.932,-43.249,-100.111,-183.934,-115.140,1,-54.269,-39.298,-207.002,245.770,94.815
6.332496,1,785,303,0.613298,0.421109,-51.423,-46.975,-46.307,-102.172,-180.704,-121.909,1,-55.205,-39.610,-205.451,244.835,94.503
6.402394,1,789,309,0.616977,0.429552,-52.202,-46.386,-48.396,-100.309,-178.978,-128.965,1,-53.957,-37.739,-202.734,246.082,96.374
6.470611,1,791,314,0.618723,0.436480,-52.316,-45.448,-49.923,-100.812,-177.215,-129.508,1,-53.333,-36.179,-209.406,246.706,97.934
6.539146,1,795,319,0.621534,0.443321,-51.940,-44.821,-51.042,-98.697,-177.946,-126.836,1,-52.086,-34.620,-204.786,247.954,99.493
6.608323,1,798,320,0.623587,0.444717,-51.695,-45.082,-50.655,-97.685,-178.998,-122.416,1,-51.150,-34.308,-218.565,248.889,99.805
6.677091,1,796,319,0.622311,0.443951,-51.262,-45.347,-49.722,-98.118,-179.302,-118.559,1,-51.774,-34.620,-218.463,248.266,99.493
6.745778,1,793,324,0.619745,0.450048,-51.269,-45.327,-48.719,-98.456,-175.532,-120.242,1,-52.710,-33.060,-226.741,247.330,101.053
6.814458,1,791,335,0.618047,0.465815,-51.558,-44.280,-49.200,-98.208,-171.170,-122.527,1,-53.333,-29.630,-228.884,246.706,104.484
6.883780,1,787,350,0.614943,0.486727,-52.124,-42.339,-49.667,-99.588,-167.468,-119.032,1,-54.581,-24.951,-234.301,245.459,109.162
6.956405,1,783,362,0.612383,0.503613,-52.651,-39.699,-50.334,-101.751,-164.391,-120.593,1,-55.829,-21.209,-227.400,244.211,112.905
7.021252,1,780,371,0.610069,0.516325,-53.323,-36.457,-50.425,-102.356,-159.205,-121.896,1,-56.764,-18.402,-228.124,243.275,115.712
7.090351,1,782,372,0.611604,0.517272,-53.640,-33.771,-51.255,-101.339,-157.774,-123.698,1,-56.140,-18.090,-222.236,243.899,116.024
7.158968,1,783,371,0.612490,0.516604,-53.966,-32.358,-51.658,-101.650,-159.863,-122.234,1,-55.829,-18.402,-216.193,244.211,115.712
7.228055,1,786,373,0.614279,0.519220,-53.885,-32.213,-52.277,-100.910,-158.482,-126.567,1,-54.893,-17.778,-222.178,245.147,116.336
7.296478,1,787,376,0.615548,0.522320,-53.737,-32.592,-52.898,-99.424,-159.316,-129.762,1,-54.581,-16.842,-224.072,245.459,117.271
7.365741,1,788,380,0.616293,0.527919,-53.317,-32.694,-52.790,-98.878,-158.355,-123.644,1,-54.269,-15.595,-227.019,245.770,118.519
7.434090,1,788,380,0.616042,0.529076,-53.063,-32.950,-52.547,-98.836,-159.285,-127.157,1,-54.269,-15.595,-234.414,245.770,118.519
7.503134,1,787,382,0.614863,0.531882,-53.040,-33.041,-51.788,-98.671,-159.597,-127.065,1,-54.581,-14.971,-231.091,245.459,119.143
7.572655,1,784,388,0.612654,0.539021,-53.385,-33.293,-51.885,-99.618,-157.775,-129.095,1,-55.517,-13.099,-236.749,244.523,121.014
7.657367,1,782,393,0.611180,0.546955,-53.603,-33.498,-51.478,-100.122,-155.451,-133.781,1,-56.140,-11.540,-252.189,243.899,122.573
7.745755,1,781,411,0.610397,0.571701,-54.019,-32.380,-52.533,-101.304,-144.629,-145.441,1,-56.452,-5.926,-257.352,243.587,128.187
7.848269,1,791,415,0.617983,0.577402,-53.609,-31.654,-53.395,-99.143,-143.921,-144.611,1,-53.333,-4.678,-272.320,246.706,129.435
7.916708,1,794,426,0.620876,0.592360,-53.645,-30.191,-54.397,-99.442,-140.384,-141.321,1,-52.398,-1.248,-275.198,247.642,132.866
7.985781,1,800,436,0.625023,0.606685,-52.880,-29.631,-54.186,-96.767,-134.575,-154.782,1,-50.526,1.871,-289.633,249.513,135.985
8.054212,1,800,446,0.625126,0.619765,-53.298,-29.155,-53.731,-98.890,-138.703,-150.354,1,-50.526,4.990,-298.761,249.513,139.104
8.122634,1,800,460,0.625370,0.640035,-53.228,-28.333,-54.236,-98.746,-133.978,-162.365,1,-50.526,9.357,-277.648,249.513,143.470
8.160041,1,801,467,0.626307,0.649222,-53.627,-27.762,-53.159,-97.642,-128.163,-140.998,1,-50.215,11.540,-324.181,249.825,145.653
8.226587,1,802,478,0.626921,0.665277,-53.733,-26.738,-53.133,-95.965,-129.925,-142.776,1,-49.903,14.971,-325.660,250.137,149.084
8.296123,1,803,489,0.628006,0.679554,-53.827,-26.283,-52.252,-92.631,-127.195,-143.957,1,-49.591,18.402,-343.385,250.449,152.515
8.364200,1,795,505,0.621733,0.702447,-54.373,-24.610,-54.561,-88.786,-118.742,-165.912,1,-52.086,23.392,-338.934,247.954,157.505
8.434384,1,789,517,0.616678,0.718268,-54.417,-22.823,-52.513,-86.198,-114.262,-129.278,1,-53.957,27.135,-372.908,246.082,161.248
8.536187,1,778,512,0.608371,0.712078,-54.820,-22.123,-53.624,-96.187,-121.315,-149.088,1,-57.388,25.575,-346.019,242.652,159.688
8.605643,1,775,490,0.605781,0.681650,-54.897,-24.258,-51.407,-98.918,-124.740,-153.487,1,-58.324,18.713,-410.989,241.716,152.827
8.674899,1,773,466,0.603940,0.647484,-54.310,-26.966,-52.760,-100.019,-124.097,-155.716,1,-58.947,11.228,-377.609,241.092,145.341
8.743692,1,770,438,0.601666,0.609008,-53.707,-30.258,-51.017,-100.095,-134.077,-153.122,1,-59.883,2.495,-356.142,240.156,136.608
8.811797,1,768,412,0.600027,0.573106,-54.158,-33.559,-52.306,-106.130,-155.153,-161.699,1,-60.507,-5.614,-313.072,239.533,128.499
8.880708,1,767,390,0.599854,0.541959,-55.428,-36.588,-53.598,-108.576,-165.219,-161.605,1,-60.819,-12.476,-254.777,239.221,121.638
8.949641,1,763,371,0.596801,0.515814,-57.029,-39.264,-54.217,-113.169,-172.717,-152.262,1,-62.066,-18.402,-253.255,237.973,115.712
9.018618,1,759,361,0.593530,0.501940,-57.502,-40.456,-53.106,-112.516,-175.575,-143.680,1,-63.314,-21.521,-243.427,236.726,112.593
9.088344,1,752,357,0.588281,0.496876,-58.480,-41.115,-51.188,-113.584,-176.149,-137.034,1,-65.497,-22.768,-250.193,234.542,111.345
9.155951,1,751,353,0.586746,0.491126,-59.019,-40.972,-49.908,-113.168,-176.515,-137.245,1,-65.809,-24.016,-253.064,234.230,110.098
9.224851,1,750,349,0.586257,0.485353,-59.589,-40.820,-49.035,-113.891,-176.598,-135.538,1,-66.121,-25.263,-247.595,233.919,108.850
9.294297,1,750,346,0.586570,0.481177,-59.399,-40.852,-49.488,-113.183,-177.304,-135.760,1,-66.121,-26.199,-243.133,233.919,107.914
9.362889,1,748,344,0.585049,0.477801,-59.286,-40.778,-49.439,-114.122,-178.167,-132.876,1,-66.745,-26.823,-246.854,233.295,107.291
9.431197,1,746,342,0.583238,0.475957,-59.453,-40.729,-49.070,-115.019,-180.744,-131.563,1,-67.369,-27.446,-244.263,232.671,106.667
9.500465,1,745,344,0.582633,0.478425,-60.022,-40.412,-48.403,-116.460,-178.636,-132.499,1,-67.680,-26.823,-243.917,232.359,107.291
9.569075,1,745,346,0.582386,0.480788,-60.523,-40.186,-47.853,-116.426,-178.333,-129.306,1,-67.680,-26.199,-244.445,232.359,107.914
9.638138,1,746,349,0.583483,0.485302,-60.544,-39.794,-47.704,-115.418,-176.355,-128.590,1,-67.369,-25.263,-245.233,232.671,108.850
9.707113,1,748,352,0.585002,0.490071,-59.861,-39.705,-47.555,-112.725,-176.843,-132.921,1,-66.745,-24.328,-243.618,233.295,109.786
9.776039,1,747,355,0.583665,0.493477,-59.364,-39.661,-47.755,-113.211,-177.203,-133.265,1,-67.057,-23.392,-245.918,232.983,110.721
9.844617,1,746,360,0.583273,0.500696,-59.149,-39.582,-47.730,-113.860,-174.779,-134.246,1,-67.369,-21.832,-251.797,232.671,112.281
9.914282,1,745,366,0.582293,0.508962,-59.489,-39.349,-48.218,-114.046,-172.384,-141.714,1,-67.680,-19.961,-258.243,232.359,114.152
9.982444,1,745,369,0.582255,0.512892,-59.772,-39.141,-48.297,-115.158,-173.876,-136.145,1,-67.680,-19.025,-255.798,232.359,115.088
10.051001,1,747,372,0.583693,0.517097,-59.879,-39.030,-49.342,-114.688,-172.551,-140.143,1,-67.057,-18.090,-259.804,232.983,116.024
10.089476,1,746,374,0.583587,0.519527,-59.903,-39.056,-49.343,-114.270,-173.170,-141.465,1,-67.369,-17.466,-252.393,232.671,116.647
10.155512,1,748,379,0.584997,0.526464,-59.425,-38.491,-50.051,-112.821,-172.154,-143.784,1,-66.745,-15.906,-252.221,233.295,118.207
10.223857,1,748,384,0.585058,0.533957,-59.167,-37.809,-50.018,-112.933,-170.984,-144.065,1,-66.745,-14.347,-255.447,233.295,119.766
10.293366,1,747,389,0.584021,0.540913,-59.092,-37.007,-50.517,-113.784,-168.804,-146.301,1,-67.057,-12.788,-259.013,232.983,121.326
10.361588,1,748,396,0.584716,0.550493,-59.340,-36.682,-51.163,-112.552,-166.497,-147.544,1,-66.745,-10.604,-270.768,233.295,123.509
