timestamp_sec,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
5.273661,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.273661,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.273661,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.273661,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.273661,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.339433,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.339433,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.339433,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.339433,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.339433,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.382712,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.382712,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.382712,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.382712,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.382712,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.423171,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.423171,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.423171,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.423171,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.423171,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.465804,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.465804,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.465804,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.465804,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.465804,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.503649,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.503649,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.503649,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.503649,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.503649,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.545073,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.545073,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.545073,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.545073,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.545073,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.585836,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.585836,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.585836,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.585836,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.585836,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.626361,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.626361,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.626361,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.626361,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.626361,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.324403,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.324403,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.324403,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.324403,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.324403,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.364810,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.364810,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.364810,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.364810,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.364810,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.406006,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.406006,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.406006,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.406006,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.406006,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.446867,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.446867,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.446867,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.446867,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.446867,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.487473,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.487473,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.487473,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.487473,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.487473,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.528767,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.528767,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.528767,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.528767,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.528767,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.569709,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.569709,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.569709,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.569709,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.569709,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.610563,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
