time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.031559,thumb,Left,1,-42.7843,-162.1490,-32.8813,0.247484,0.034292,-2.225202,-32.446,-26.089,5.315
0.031559,index,Left,1,-2.1936,-6.5791,29.6549,0.279758,-0.086033,-0.902667,3.483,-43.388,25.194
0.031559,middle,Left,1,-4.5178,-18.3549,60.2698,0.102026,-0.045329,-0.372392,29.877,-55.467,26.227
0.031559,ring,Left,1,-28.3044,-0.0632,41.7564,0.070726,0.036060,0.380060,40.338,-45.842,23.838
0.031559,pinky,Left,1,-28.0715,16.1066,21.2001,0.056301,-0.072674,-0.113793,42.723,-21.081,16.850
0.071946,thumb,Left,1,-57.8471,-101.2003,-100.2130,0.163052,0.101647,-1.520887,-32.018,-25.676,5.828
0.071946,index,Left,1,-23.7388,-13.7512,13.0276,0.172328,-0.043301,-0.572481,3.693,-43.103,25.577
0.071946,middle,Left,1,-40.9741,13.1973,2.7094,0.031372,-0.026568,-0.078349,30.221,-55.420,26.221
0.071946,ring,Left,1,-27.0797,20.5212,0.9835,0.019383,-0.004187,0.203859,40.446,-45.740,24.045
0.071946,pinky,Left,1,-10.7000,-8.7963,15.5812,0.042488,-0.090572,-0.145766,42.582,-21.436,17.146
0.113114,thumb,Left,1,-45.3203,-61.8376,-119.9655,0.179593,0.254351,-0.893125,-31.813,-25.066,6.110
0.113114,index,Left,1,-34.1305,-29.1240,-7.1212,0.043613,-0.042476,-0.461528,3.981,-42.539,25.684
0.113114,middle,Left,1,-47.3459,28.7723,-37.8259,-0.056627,0.003398,0.217448,30.295,-55.075,25.839
0.113114,ring,Left,1,-10.0869,32.8818,-38.8801,-0.041313,0.001090,0.087112,40.230,-45.538,23.691
0.113114,pinky,Left,1,7.9837,-24.9009,3.4363,0.029855,-0.096549,-0.227102,42.277,-21.716,17.059
0.154281,thumb,Left,1,-22.5279,-62.7417,-65.3885,0.268349,0.355279,-0.283264,-32.301,-25.310,6.209
0.154281,index,Left,1,-20.6810,0.7066,-26.6291,-0.003832,-0.050512,-0.536186,3.842,-42.491,25.404
0.154281,middle,Left,1,-15.5120,38.1278,-54.0367,-0.094093,0.042177,0.341642,30.043,-55.256,25.503
0.154281,ring,Left,1,12.3069,12.0564,-44.7408,-0.029902,0.018516,-0.008886,39.743,-45.775,23.672
0.154281,pinky,Left,1,4.2370,-18.0339,0.2540,0.015481,-0.088575,-0.290368,42.297,-22.007,17.220
0.194973,thumb,Left,1,-14.9207,-75.5935,-23.4448,0.348716,0.362106,0.149128,-32.627,-25.479,6.770
0.194973,index,Left,1,-12.6463,16.3958,-34.3848,0.025475,-0.061568,-0.727134,3.783,-42.294,25.356
0.194973,middle,Left,1,12.8790,23.9892,-51.6629,-0.078673,0.062936,0.364549,29.711,-55.257,25.516
0.194973,ring,Left,1,23.8962,-7.6374,-41.1932,0.019450,0.013140,-0.053169,39.292,-45.774,23.877
0.194973,pinky,Left,1,6.2927,0.4757,-8.7751,-0.001257,-0.115000,-0.398383,42.372,-22.019,17.357
0.236813,thumb,Left,1,-39.4201,-82.7386,-18.2699,0.360408,0.258301,0.257521,-32.392,-25.396,7.814
0.236813,index,Left,1,-0.3005,38.3017,-33.3188,0.039193,-0.064796,-0.765177,3.615,-42.119,25.069
0.236813,middle,Left,1,32.4150,20.1695,-41.2669,-0.065962,0.051214,0.133909,29.270,-55.174,25.130
0.236813,ring,Left,1,21.5494,-12.4253,-23.4661,0.049245,0.024944,-0.021905,39.001,-45.786,23.721
0.236813,pinky,Left,1,8.1580,19.6669,-15.2708,-0.014536,-0.091621,-0.360953,42.399,-21.899,17.086
0.277445,thumb,Left,1,-56.6302,-77.3948,-35.1496,0.317649,0.150320,0.426859,-32.510,-25.661,8.680
0.277445,index,Left,1,0.9302,25.5447,-16.3346,0.102557,-0.068871,-0.840162,3.562,-42.134,25.058
0.277445,middle,Left,1,28.4515,-3.7975,-29.5225,0.008674,0.068384,0.103526,28.885,-55.172,25.250
0.277445,ring,Left,1,3.8308,-5.0711,-10.3993,0.120119,0.031505,0.020866,38.852,-45.963,23.937
0.277445,pinky,Left,1,13.5685,29.0704,-26.7371,-0.017541,-0.068150,-0.302782,42.538,-21.780,16.947
0.318465,thumb,Left,1,-56.1766,-70.6582,-30.3785,0.291844,0.007345,0.616160,-32.831,-25.966,9.576
0.318465,index,Left,1,-2.0479,34.5476,1.4818,0.144173,-0.074419,-0.850654,3.550,-42.447,25.058
0.318465,middle,Left,1,21.1866,-6.1682,-13.4095,0.062169,0.068439,0.035089,28.661,-55.297,25.479
0.318465,ring,Left,1,-1.9363,12.5405,4.9351,0.150646,0.024277,-0.031286,38.909,-46.167,24.156
0.318465,pinky,Left,1,20.8391,34.4830,-27.3256,-0.043919,-0.026782,-0.216774,42.801,-21.599,16.779
0.359749,thumb,Left,1,-18.0777,-40.8268,6.7985,0.264002,-0.003196,0.501819,-32.989,-26.071,9.568
0.359749,index,Left,1,-3.8499,25.3242,16.4880,0.118496,-0.046553,-0.694642,3.567,-42.477,25.067
0.359749,middle,Left,1,-4.1335,-15.0336,13.3665,0.046669,0.066164,0.197273,28.866,-55.277,25.667
0.359749,ring,Left,1,-22.4060,7.0407,11.1032,0.130428,0.004530,-0.059547,38.892,-45.952,24.450
0.359749,pinky,Left,1,-9.1085,15.2958,-14.2247,-0.046137,-0.068928,-0.304168,42.617,-21.593,17.228
0.441143,thumb,Left,1,5.6826,-19.0572,18.5171,0.177758,0.010210,0.645619,-33.585,-26.398,8.591
0.441143,index,Left,1,-0.3963,23.7979,23.9759,0.055587,-0.006182,-0.478239,3.394,-43.434,25.740
0.441143,middle,Left,1,-9.6449,-10.9954,18.9806,0.035300,0.077322,0.332561,28.971,-55.620,26.349
0.441143,ring,Left,1,-26.4556,5.0845,10.6488,0.119380,-0.032226,-0.146232,39.059,-45.860,25.460
0.441143,pinky,Left,1,-14.6580,7.0984,-5.8405,-0.028402,-0.069768,-0.282115,42.697,-21.816,17.869
0.482971,thumb,Left,1,35.4251,29.1088,12.6445,0.069937,0.051039,0.949295,-33.226,-26.228,8.358
0.482971,index,Left,1,-2.2997,29.5858,25.3189,-0.113000,0.048037,0.089129,3.404,-44.068,25.667
0.482971,middle,Left,1,-15.2185,16.2367,8.8125,-0.041397,0.131264,0.723977,29.113,-55.821,25.986
0.482971,ring,Left,1,-27.1516,7.7766,-1.7550,0.080645,-0.047873,-0.184707,39.182,-45.780,25.544
0.482971,pinky,Left,1,-17.7445,-20.8446,9.7642,0.031429,0.002660,-0.179041,42.539,-22.230,18.034
0.523355,thumb,Left,1,-33.3299,25.0869,-68.5053,0.078040,-0.045952,2.421189,-32.469,-25.667,10.519
0.523355,index,Left,1,-15.8999,33.0874,30.8346,-0.207190,0.015684,0.164219,3.758,-44.442,25.594
0.523355,middle,Left,1,-9.6077,21.5896,-17.2583,-0.055835,0.132072,0.785634,29.148,-55.486,25.646
0.523355,ring,Left,1,-19.0858,24.1622,-21.6777,0.047232,-0.055443,-0.200749,39.287,-45.316,25.229
0.523355,pinky,Left,1,18.3130,-0.1209,-2.2143,0.003339,0.069432,-0.138970,42.623,-22.059,17.602
0.564484,thumb,Left,1,-125.8976,46.5808,-203.9183,0.102009,-0.260154,3.049953,-30.940,-24.154,13.891
0.564484,index,Left,1,-45.6148,2.8032,-13.8184,-0.229779,-0.040591,0.280209,4.330,-43.794,25.391
0.564484,middle,Left,1,-34.7661,26.9028,-58.2691,-0.099725,0.006311,0.150649,29.469,-54.608,25.198
0.564484,ring,Left,1,-9.4926,52.1378,-67.8929,-0.068911,-0.052285,-0.087995,39.449,-44.532,24.394
0.564484,pinky,Left,1,34.3856,-5.5842,-31.4428,-0.003640,0.035387,-0.096004,42.192,-21.768,17.253
0.605395,thumb,Left,1,-222.5826,56.5760,-267.5827,0.098019,-0.484465,3.184430,-29.768,-23.055,17.527
0.605395,index,Left,1,-53.0553,-46.3882,-26.2429,-0.154345,-0.096852,-0.031257,4.926,-43.259,25.681
0.605395,middle,Left,1,-45.7064,-11.9936,-56.2456,-0.044049,-0.073167,-0.223891,29.676,-53.992,25.393
0.605395,ring,Left,1,-9.7226,53.3290,-82.6089,-0.090691,-0.049815,-0.023012,39.550,-43.931,23.911
0.605395,pinky,Left,1,31.9328,16.8091,-43.7343,-0.049132,-0.069058,-0.266079,42.265,-21.574,17.092
0.646299,thumb,Left,1,-174.5913,53.1215,-211.3420,0.008547,-0.517389,2.928299,-28.830,-22.611,19.634
0.646299,index,Left,1,-38.3670,-67.3863,-22.8896,-0.067150,-0.103043,-0.127648,5.376,-43.041,26.082
0.646299,middle,Left,1,-31.1774,-19.7106,-29.6922,-0.005956,-0.078168,-0.301134,29.670,-53.856,25.481
0.646299,ring,Left,1,1.6499,45.7853,-50.6658,-0.088702,-0.051851,-0.040254,39.740,-43.911,23.641
0.646299,pinky,Left,1,17.9424,9.0086,-16.5861,-0.048519,-0.106791,-0.287714,42.485,-21.760,16.993
0.688372,thumb,Left,1,-70.0166,34.5538,-83.9626,-0.001999,-0.460271,2.312014,-27.853,-22.378,20.534
0.688372,index,Left,1,-18.8529,-50.3512,-5.7700,-0.017329,-0.113830,-0.435194,5.743,-42.652,26.184
0.688372,middle,Left,1,4.3354,-19.8288,-3.6447,0.012042,-0.026047,-0.044200,29.480,-53.658,25.402
0.688372,ring,Left,1,16.2612,17.7877,-11.1705,-0.059793,-0.026672,-0.011618,39.612,-43.893,23.347
0.688372,pinky,Left,1,14.7104,27.9869,9.6760,-0.096465,-0.083352,-0.295321,42.831,-21.687,16.714
0.728853,thumb,Left,1,24.9272,3.9259,6.6643,-0.066408,-0.396748,2.859650,-26.999,-22.219,21.555
0.728853,index,Left,1,-7.6460,-24.6422,-8.5490,-0.008438,-0.125794,-0.572763,6.002,-42.327,26.272
0.728853,middle,Left,1,15.2551,2.5155,-11.3206,-0.000121,-0.043820,-0.071956,29.485,-53.267,25.102
