time_aligned,sensor,v1,v2,v3
0.007673,acc,-0.320823,0.083797,9.500193
0.008673,gyro,-0.001222,0.000000,-0.001222
0.015673,acc,-0.253785,0.071826,9.651027
0.016673,gyro,0.003665,0.000000,0.000000
0.026673,acc,-0.306458,0.057461,9.488221
0.027673,gyro,-0.001222,-0.003665,0.001222
0.036673,acc,-0.225055,0.038307,9.528923
0.036673,gyro,0.002443,-0.001222,0.000000
0.046673,acc,-0.210690,0.047884,9.538500
0.046673,gyro,0.002443,0.000000,0.000000
0.055673,acc,-0.289698,0.052672,9.607931
0.055673,gyro,0.000000,0.004887,0.000000
0.067673,acc,-0.263362,0.088585,9.543288
0.067673,gyro,0.002443,-0.001222,0.000000
0.076673,acc,-0.280122,0.055067,9.502586
0.077673,gyro,-0.001222,-0.006109,0.000000
0.089673,acc,-0.282516,0.079009,9.548077
0.090673,gyro,0.002443,0.001222,0.000000
0.097673,acc,-0.301669,0.105345,9.507375
0.098673,gyro,0.001222,0.003665,0.000000
0.108673,acc,-0.306458,0.102951,9.543288
0.108673,gyro,-0.002443,0.001222,0.000000
0.116673,acc,-0.272939,0.069432,9.533711
0.117673,gyro,0.000000,-0.006109,0.000000
0.126673,acc,-0.277727,0.057461,9.548077
0.127673,gyro,-0.001222,-0.002443,0.000000
0.135673,acc,-0.246603,0.038307,9.567230
0.136673,gyro,0.001222,0.001222,0.001222
0.148673,acc,-0.313640,0.093374,9.600749
0.149673,gyro,-0.001222,0.000000,0.000000
0.157673,acc,-0.294487,0.071826,9.519346
0.157673,gyro,0.000000,0.000000,0.000000
0.167673,acc,-0.277727,0.090980,9.478644
0.167673,gyro,0.000000,-0.002443,-0.001222
0.177673,acc,-0.275333,0.095768,9.545682
0.178673,gyro,0.001222,-0.002443,0.000000
0.188673,acc,-0.294487,0.090980,9.433155
0.188673,gyro,0.001222,-0.002443,0.000000
0.197673,acc,-0.308852,0.069432,9.548077
0.198673,gyro,0.003665,0.002443,0.000000
0.209673,acc,-0.320823,0.064643,9.540894
0.209673,gyro,0.000000,-0.002443,0.001222
0.218673,acc,-0.263362,0.083797,9.593566
0.219673,gyro,0.000000,-0.003665,0.001222
0.230673,acc,-0.280122,0.079009,9.519346
0.230673,gyro,-0.001222,-0.001222,-0.001222
0.238673,acc,-0.248997,0.138864,9.555259
0.238673,gyro,-0.002443,0.001222,0.000000
0.250673,acc,-0.270545,0.052672,9.552865
0.250673,gyro,0.002443,0.002443,0.000000
0.259673,acc,-0.306458,0.102951,9.447520
0.259673,gyro,-0.001222,-0.002443,0.000000
0.270673,acc,-0.284910,0.107739,9.507375
0.270673,gyro,0.001222,-0.002443,0.000000
0.276673,acc,-0.277727,0.035913,9.521740
0.277673,gyro,0.001222,-0.002443,-0.001222
0.288673,acc,-0.246603,0.083797,9.588778
0.288673,gyro,0.000000,0.001222,0.001222
0.299673,acc,-0.241814,0.021548,9.574412
0.300673,gyro,0.002443,0.002443,0.000000
0.310673,acc,-0.347159,0.016759,9.514558
0.310673,gyro,-0.001222,-0.002443,-0.001222
0.318673,acc,-0.289698,0.028730,9.528923
0.318673,gyro,0.002443,-0.001222,0.000000
0.329673,acc,-0.256180,0.059855,9.519346
0.330673,gyro,0.000000,-0.001222,0.000000
0.338673,acc,-0.320823,0.047884,9.516952
0.338673,gyro,0.000000,0.001222,0.001222
0.349673,acc,-0.299275,0.083797,9.538500
0.350673,gyro,0.001222,0.000000,0.000000
0.359673,acc,-0.311246,0.088585,9.531317
0.360673,gyro,-0.001222,-0.001222,0.000000
0.370673,acc,-0.296881,0.088585,9.471462
0.370673,gyro,0.002443,-0.001222,-0.001222
0.379673,acc,-0.304064,0.062249,9.516952
0.379673,gyro,0.000000,0.001222,0.000000
0.391673,acc,-0.251391,0.057461,9.528923
0.391673,gyro,0.001222,0.002443,0.000000
0.398673,acc,-0.318429,0.043096,9.502586
0.399673,gyro,0.001222,-0.001222,0.000000
0.411673,acc,-0.299275,0.033519,9.564836
0.412673,gyro,0.001222,-0.004887,-0.001222
0.419673,acc,-0.301669,0.083797,9.481039
0.419673,gyro,0.000000,-0.001222,0.000000
0.430673,acc,-0.234632,0.057461,9.524135
0.430673,gyro,0.001222,0.002443,0.000000
0.438673,acc,-0.215478,0.098162,9.524135
0.438673,gyro,0.001222,0.000000,0.000000
0.450673,acc,-0.280122,0.047884,9.586384
0.450673,gyro,0.001222,-0.001222,0.000000
0.458673,acc,-0.241814,0.088585,9.548077
0.459673,gyro,0.001222,-0.003665,0.000000
0.470673,acc,-0.304064,0.095768,9.521740
0.470673,gyro,0.000000,0.000000,0.000000
0.478673,acc,-0.268151,0.074220,9.528923
0.479673,gyro,0.001222,0.000000,0.000000
0.490673,acc,-0.287304,0.086191,9.531317
0.490673,gyro,0.002443,-0.001222,-0.001222
0.499673,acc,-0.289698,0.052672,9.540894
0.500673,gyro,0.000000,0.001222,0.000000
0.510673,acc,-0.325611,0.040701,9.502586
0.511673,gyro,-0.001222,-0.003665,0.000000
0.518673,acc,-0.268151,0.076614,9.526528
0.519673,gyro,0.000000,0.001222,-0.001222
0.530673,acc,-0.311246,0.071826,9.531317
0.530673,gyro,0.001222,0.000000,0.000000
0.537673,acc,-0.275333,0.026336,9.526528
0.538673,gyro,-0.001222,0.001222,0.001222
0.551673,acc,-0.260968,0.043096,9.550470
0.551673,gyro,0.000000,-0.002443,0.000000
0.560673,acc,-0.289698,0.107739,9.543288
0.560673,gyro,-0.001222,-0.001222,0.000000
0.571673,acc,-0.248997,0.107739,9.490616
0.571673,gyro,0.001222,0.001222,0.000000
0.578673,acc,-0.270545,0.090980,9.512163
0.579673,gyro,0.002443,-0.001222,0.000000
0.591673,acc,-0.292093,0.112527,9.572019
0.591673,gyro,0.000000,-0.001222,0.000000
0.600673,acc,-0.294487,0.095768,9.564836
0.600673,gyro,0.000000,0.001222,0.000000
0.611673,acc,-0.339977,0.098162,9.576807
0.611673,gyro,0.000000,0.000000,-0.001222
0.619673,acc,-0.263362,0.141258,9.545682
0.620673,gyro,0.001222,-0.001222,0.000000
0.630673,acc,-0.320823,0.062249,9.516952
0.631673,gyro,-0.001222,0.000000,0.000000
0.639673,acc,-0.272939,0.055067,9.528923
0.639673,gyro,0.000000,0.000000,0.000000
0.651673,acc,-0.253785,0.052672,9.473856
0.651673,gyro,0.000000,0.000000,0.000000
0.660673,acc,-0.366313,0.055067,9.572019
0.661673,gyro,0.002443,-0.001222,0.000000
0.670673,acc,-0.304064,0.071826,9.481039
0.671673,gyro,0.001222,-0.003665,0.000000
0.679673,acc,-0.246603,0.076614,9.560047
0.679673,gyro,0.002443,0.001222,0.000000
0.691673,acc,-0.280122,0.016759,9.574412
0.691673,gyro,0.000000,0.001222,-0.001222
0.700673,acc,-0.294487,0.088585,9.521740
0.701673,gyro,0.000000,-0.001222,0.000000
0.714673,acc,-0.313640,0.031125,9.581595
0.715673,gyro,0.002443,-0.002443,0.000000
0.718673,acc,-0.318429,0.059855,9.543288
0.719673,gyro,0.000000,-0.003665,0.001222
0.731673,acc,-0.280122,0.076614,9.528923
0.732673,gyro,0.001222,0.003665,0.001222
0.739673,acc,-0.313640,0.064643,9.471462
0.739673,gyro,-0.001222,0.000000,0.000000
0.749673,acc,-0.272939,0.069432,9.567230
0.749673,gyro,-0.001222,-0.004887,-0.001222
0.759673,acc,-0.272939,0.083797,9.502586
0.759673,gyro,0.000000,-0.002443,0.000000
0.772673,acc,-0.244209,0.040701,9.497798
0.772673,gyro,0.000000,0.002443,0.000000
0.780673,acc,-0.265756,0.071826,9.512163
0.780673,gyro,0.002443,0.001222,-0.001222
0.790673,acc,-0.299275,0.083797,9.466674
0.791673,gyro,-0.001222,-0.003665,0.001222
0.799673,acc,-0.284910,0.100556,9.536105
0.799673,gyro,0.003665,-0.002443,0.000000
0.811673,acc,-0.268151,0.083797,9.533711
0.811673,gyro,0.002443,0.000000,0.000000
0.820673,acc,-0.296881,0.057461,9.567230
0.820673,gyro,-0.001222,0.002443,0.001222
0.832673,acc,-0.253785,0.057461,9.459491
0.833673,gyro,0.001222,0.000000,0.000000
0.840673,acc,-0.282516,0.057461,9.514558
0.840673,gyro,0.001222,-0.001222,0.000000
0.851673,acc,-0.268151,0.076614,9.526528
0.851673,gyro,0.000000,-0.003665,-0.001222
0.860673,acc,-0.258574,0.062249,9.533711
0.861673,gyro,0.000000,0.001222,0.000000
0.873673,acc,-0.301669,0.071826,9.588778
0.874673,gyro,0.001222,0.003665,0.000000
0.883673,acc,-0.256180,0.052672,9.481039
0.883673,gyro,0.000000,-0.004887,0.000000
0.892673,acc,-0.272939,0.021548,9.526528
0.892673,gyro,0.000000,-0.002443,0.001222
0.900673,acc,-0.256180,0.069432,9.516952
0.900673,gyro,0.001222,0.002443,0.000000
0.912673,acc,-0.330400,0.119710,9.576807
0.913673,gyro,0.000000,0.003665,0.001222
0.922673,acc,-0.256180,0.090980,9.490616
0.922673,gyro,-0.001222,-0.001222,0.000000
0.931673,acc,-0.275333,0.086191,9.550470
0.931673,gyro,0.001222,-0.001222,0.000000
