time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.007685,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.007685,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.007685,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.007685,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.007685,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048769,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048769,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048769,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048769,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048769,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089243,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089243,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089243,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089243,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089243,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.130748,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.130748,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.130748,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.130748,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.130748,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172052,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172052,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172052,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172052,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172052,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.213186,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.213186,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.213186,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.213186,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.213186,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.253433,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.253433,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.253433,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.253433,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.253433,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.294677,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.294677,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.294677,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.294677,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.294677,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.335144,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.335144,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.335144,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.335144,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.335144,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.376622,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.376622,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.376622,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.376622,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.376622,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.417792,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.417792,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.417792,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.417792,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.417792,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.458633,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.458633,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.458633,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.458633,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.458633,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500841,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500841,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500841,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500841,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500841,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.540171,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.540171,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.540171,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.540171,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.540171,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.581743,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.581743,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.581743,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.581743,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.581743,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622228,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622228,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622228,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622228,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622228,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.663614,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.663614,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.663614,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.663614,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.663614,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.745525,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.745525,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.745525,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.745525,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.745525,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.786362,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.786362,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.786362,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.786362,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.786362,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.828237,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.828237,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.828237,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.828237,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.828237,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.868241,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.868241,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.868241,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.868241,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.868241,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.909491,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.909491,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.909491,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.909491,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.909491,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.951199,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.951199,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.951199,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.951199,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.951199,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.991298,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.991298,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.991298,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.991298,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
