time_aligned,sensor,v1,v2,v3
0.579331,acc,-0.071826,0.107739,9.524135
0.580331,gyro,0.000000,-0.003665,0.000000
0.585331,acc,-0.038307,0.105345,9.536105
0.585331,gyro,0.002443,-0.006109,0.000000
0.596331,acc,-0.011971,0.098162,9.526528
0.596331,gyro,0.001222,-0.001222,0.001222
0.606331,acc,-0.083797,0.057461,9.574412
0.606331,gyro,0.002443,0.007330,0.000000
0.617331,acc,-0.057461,0.059855,9.543288
0.617331,gyro,0.002443,0.002443,0.000000
0.625331,acc,-0.081403,0.023942,9.588778
0.625331,gyro,0.000000,-0.002443,0.000000
0.637331,acc,-0.040701,0.028730,9.490616
0.638331,gyro,0.001222,-0.002443,0.000000
0.645331,acc,-0.052672,0.064643,9.533711
0.646331,gyro,-0.002443,0.002443,0.000000
0.656331,acc,-0.062249,0.177171,9.555259
0.657331,gyro,0.001222,0.004887,0.000000
0.665331,acc,-0.033519,0.021548,9.528923
0.665331,gyro,0.000000,0.001222,0.000000
0.678331,acc,-0.040701,0.052672,9.543288
0.679331,gyro,0.001222,-0.003665,0.000000
0.686331,acc,-0.040701,0.047884,9.469068
0.686331,gyro,0.000000,-0.001222,0.000000
0.698331,acc,-0.016759,0.071826,9.579201
0.698331,gyro,0.002443,0.007330,0.001222
0.705331,acc,-0.050278,0.093374,9.519346
0.706331,gyro,0.001222,0.001222,0.000000
0.718331,acc,-0.011971,0.102951,9.538500
0.718331,gyro,-0.001222,-0.001222,0.000000
0.726331,acc,-0.019154,0.040701,9.536105
0.726331,gyro,0.002443,0.000000,0.000000
0.741331,acc,0.016759,0.045490,9.425972
0.741331,gyro,-0.001222,0.001222,0.000000
0.747331,acc,-0.023942,0.095768,9.572019
0.747331,gyro,0.003665,0.003665,0.000000
0.763331,acc,-0.040701,0.083797,9.526528
0.764331,gyro,0.001222,-0.002443,0.000000
0.767331,acc,-0.026336,0.067038,9.488221
0.769331,gyro,0.001222,-0.001222,0.001222
0.779331,acc,-0.040701,0.107739,9.552865
0.779331,gyro,0.001222,0.000000,0.000000
0.786331,acc,-0.023942,0.062249,9.557653
0.787331,gyro,0.000000,0.001222,0.000000
0.799331,acc,0.000000,0.062249,9.579201
0.799331,gyro,0.000000,0.001222,0.000000
0.808331,acc,-0.062249,0.059855,9.502586
0.808331,gyro,-0.001222,0.001222,0.000000
0.817331,acc,-0.038307,0.050278,9.543288
0.818331,gyro,0.000000,0.000000,0.000000
0.827331,acc,-0.052672,0.057461,9.524135
0.827331,gyro,-0.001222,0.000000,0.001222
0.839331,acc,-0.052672,0.047884,9.552865
0.839331,gyro,0.000000,0.000000,0.001222
0.847331,acc,-0.009577,0.009577,9.521740
0.847331,gyro,-0.001222,-0.001222,0.000000
0.858331,acc,-0.007183,0.079009,9.548077
0.858331,gyro,0.000000,0.001222,0.000000
0.869331,acc,-0.043096,0.074220,9.526528
0.869331,gyro,0.000000,0.002443,0.000000
0.879331,acc,-0.069432,0.040701,9.581595
0.879331,gyro,0.002443,0.000000,0.000000
0.887331,acc,-0.002394,0.047884,9.562442
0.887331,gyro,0.001222,-0.006109,-0.001222
0.902331,acc,-0.026336,0.067038,9.512163
0.902331,gyro,0.000000,0.003665,0.001222
0.906331,acc,-0.011971,0.045490,9.579201
0.906331,gyro,0.002443,0.007330,0.000000
0.917331,acc,-0.021548,0.105345,9.466674
0.917331,gyro,-0.002443,-0.002443,0.000000
0.926331,acc,-0.040701,0.035913,9.562442
0.927331,gyro,0.002443,-0.003665,0.000000
0.940331,acc,-0.016759,0.076614,9.519346
0.940331,gyro,-0.001222,-0.002443,0.000000
0.946331,acc,-0.026336,0.086191,9.598354
0.947331,gyro,0.001222,0.007330,0.000000
0.958331,acc,-0.052672,0.071826,9.519346
0.958331,gyro,0.002443,0.004887,0.000000
0.969331,acc,-0.033519,0.076614,9.555259
0.970331,gyro,-0.001222,-0.003665,-0.001222
0.979331,acc,-0.019154,0.045490,9.524135
0.979331,gyro,0.002443,-0.004887,0.000000
0.988331,acc,-0.074220,0.076614,9.591172
0.988331,gyro,-0.002443,-0.002443,0.000000
1.000331,acc,-0.016759,0.052672,9.533711
1.001331,gyro,0.003665,0.009774,0.000000
1.009331,acc,-0.033519,0.062249,9.490616
1.009331,gyro,0.000000,0.004887,0.000000
1.019331,acc,-0.052672,0.064643,9.538500
1.019331,gyro,0.001222,-0.008552,0.001222
1.027331,acc,-0.040701,0.047884,9.516952
1.027331,gyro,0.000000,-0.002443,0.000000
1.040331,acc,0.002394,0.086191,9.593566
1.041331,gyro,0.000000,0.008552,0.000000
1.048331,acc,-0.028730,0.074220,9.524135
1.049331,gyro,0.002443,0.004887,0.000000
1.059331,acc,-0.047884,0.067038,9.536105
1.060331,gyro,0.001222,-0.008552,0.000000
1.068331,acc,0.000000,0.057461,9.576807
1.069331,gyro,0.001222,-0.003665,-0.001222
1.079331,acc,0.000000,0.071826,9.526528
1.079331,gyro,0.000000,0.003665,0.000000
1.089331,acc,-0.019154,0.114922,9.567230
1.089331,gyro,0.001222,0.004887,0.000000
1.101331,acc,-0.059855,0.071826,9.488221
1.101331,gyro,0.001222,-0.001222,0.000000
1.109331,acc,-0.035913,0.095768,9.524135
1.109331,gyro,0.001222,-0.006109,0.000000
1.119331,acc,-0.021548,0.062249,9.488221
1.119331,gyro,0.000000,0.000000,0.000000
1.129331,acc,-0.040701,0.067038,9.519346
1.129331,gyro,-0.001222,0.006109,0.000000
1.140331,acc,-0.071826,0.050278,9.550470
1.141331,gyro,0.002443,0.001222,0.001222
1.150331,acc,0.014365,0.098162,9.500193
1.150331,gyro,-0.001222,-0.006109,0.000000
1.159331,acc,-0.011971,0.057461,9.562442
1.159331,gyro,0.001222,-0.003665,0.000000
1.169331,acc,-0.079009,0.081403,9.516952
1.170331,gyro,-0.001222,0.004887,0.000000
1.181331,acc,0.019154,0.090980,9.579201
1.182331,gyro,0.001222,0.004887,0.000000
1.192331,acc,-0.021548,0.045490,9.507375
