timestamp_sec,sensor,v1,v2,v3,watch_ts_ms
11.072440,acc,-4.201824,0.890643,8.161834,1784674173967
11.072494,acc,-4.156334,0.933739,8.271967,1784674173968
11.072503,acc,-3.806781,1.063026,8.348581,1784674173969
11.072509,acc,-3.751714,1.098939,8.726865,1784674173978
11.072515,acc,-3.576937,1.029507,9.279925,1784674173989
11.072521,acc,-2.971204,1.247379,9.696517,1784674173998
11.072526,acc,-2.705448,1.233014,9.737218,1784674174009
11.072532,acc,-2.985569,1.323994,9.727641,1784674174018
11.072538,acc,-2.865860,1.218649,9.449914,1784674174030
11.072545,acc,-2.521094,1.175553,9.145850,1784674174038
11.072550,acc,-2.341529,0.991200,9.006987,1784674174050
11.072556,acc,-2.308010,0.921768,9.117120,1784674174058
11.072562,acc,-1.668759,0.677559,9.459491,1784674174069
11.072567,acc,-1.249773,0.814029,9.358934,1784674174078
11.072573,acc,-0.871489,0.763750,8.992621,1784674174089
11.072579,acc,-0.821211,0.414197,8.825027,1784674174098
11.072585,acc,-0.550666,0.512359,9.205706,1784674174109
11.072590,acc,-0.682347,1.137246,9.385271,1784674174118
11.072601,acc,-0.459687,1.302446,9.725247,1784674174129
11.072606,acc,-0.615310,0.881066,9.485827,1784674174138
11.072673,gyro,0.684169,0.609644,-0.048869,1784674173968
11.072685,gyro,-0.206472,-1.332908,-0.704939,1784674173968
11.072692,gyro,-0.114843,-0.924850,0.019548,1784674173969
11.072697,gyro,-0.113621,-1.086118,0.162490,1784674173978
11.072704,gyro,-0.062308,-1.161866,0.447153,1784674173989
11.072709,gyro,-0.081856,-1.314582,0.430049,1784674173998
11.072715,gyro,-0.036652,-1.401325,0.414167,1784674174009
11.072721,gyro,0.032987,-1.424538,0.442266,1784674174018
11.072726,gyro,0.098960,-1.522276,0.515570,1784674174030
11.072732,gyro,0.111177,-1.517389,0.596204,1784674174038
11.072738,gyro,0.069639,-1.387886,0.662178,1784674174050
11.072743,gyro,-0.076969,-1.159422,0.670730,1784674174058
11.072791,gyro,-0.120951,-1.152092,0.616974,1784674174069
11.072806,gyro,-0.021991,-1.185079,0.503353,1784674174078
11.072812,gyro,0.098960,-1.125214,0.471588,1784674174089
11.072818,gyro,0.007330,-0.959058,0.475253,1784674174098
11.072827,gyro,-0.241903,-0.467923,0.427606,1784674174109
11.072833,gyro,-0.205251,-0.291994,0.338419,1784674174118
11.072839,gyro,-0.216246,-0.174707,0.329867,1784674174129
11.072844,gyro,-0.084299,-0.166155,0.316428,1784674174138
11.368972,acc,-0.893037,1.098939,9.165004,1784674174149
11.368984,acc,-1.113304,0.883460,8.923190,1784674174158
11.368996,acc,-1.106121,0.172383,8.544906,1784674174169
11.369002,acc,-1.154005,0.064643,8.307879,1784674174178
11.369008,acc,-1.233014,-0.323217,7.723695,1784674174190
11.369014,acc,-1.517924,-0.617704,7.623138,1784674174198
11.369019,acc,-1.656788,-0.708684,7.687782,1784674174211
11.369025,acc,-1.932121,-0.466869,8.872911,1784674174218
11.369030,acc,-1.778892,-0.126893,10.163386,1784674174229
11.369036,acc,-2.406173,-1.268927,12.746730,1784674174238
11.369042,acc,-1.520318,-0.253785,9.478644,1784674174249
11.369047,acc,-1.369483,0.004788,10.958262,1784674174258
11.369054,acc,-1.491588,-0.098162,10.070012,1784674174269
11.369060,acc,-1.225831,-0.172383,9.775525,1784674174280
11.369065,acc,-1.304840,0.232238,9.481039,1784674174290
11.369071,acc,-0.928950,0.141258,9.093178,1784674174301
11.369076,acc,-0.909797,-0.301669,9.677363,1784674174311
11.369082,acc,-1.007959,0.440533,10.072407,1784674174320
11.369090,acc,0.684742,0.991200,8.288726,1784674174331
11.369096,acc,-1.323994,-0.837971,10.220847,1784674174340
11.369149,gyro,0.009774,-0.193033,0.321315,1784674174149
11.369158,gyro,-0.063530,-0.091630,0.322537,1784674174158
11.369164,gyro,-0.130725,0.068417,0.291994,1784674174169
11.369169,gyro,-0.216246,0.128282,0.302989,1784674174178
11.369175,gyro,-0.460592,0.101404,0.304211,1784674174190
11.369181,gyro,-0.744034,0.098960,0.288328,1784674174198
11.369186,gyro,-1.161866,0.021991,0.223577,1784674174211
11.369192,gyro,-1.485624,-0.021991,0.123395,1784674174218
11.369201,gyro,-1.740966,-0.095295,0.047647,1784674174229
11.369206,gyro,-0.056200,-1.032362,-0.020769,1784674174238
11.369212,gyro,0.162490,-1.136209,-0.013439,1784674174249
11.369218,gyro,-0.307876,-0.697608,-0.031765,1784674174258
