sample_offset,num_samples,watch_ts_ms
0,1920,1784674173100
1920,1920,1784674173140
3840,1920,1784674173180
5760,1920,1784674173220
7680,1920,1784674173260
9600,1920,1784674173301
11520,1920,1784674173341
13440,1920,1784674173380
15360,1920,1784674173420
17280,1920,1784674173460
19200,1920,1784674173501
21120,1920,1784674173543
23040,1920,1784674173583
24960,1920,1784674173623
26880,1920,1784674173664
28800,1920,1784674173704
30720,1920,1784674173744
32640,1920,1784674173784
34560,1920,1784674173827
36480,1920,1784674173864
38400,1920,1784674173902
40320,1920,1784674173944
42240,1920,1784674173980
44160,1920,1784674174020
46080,1920,1784674174060
48000,1920,1784674174100
49920,1920,1784674174140
51840,1920,1784674174180
53760,1920,1784674174220
55680,1920,1784674174260
57600,1920,1784674174303
59520,1920,1784674174342
61440,1920,1784674174380
63360,1920,1784674174421
65280,1920,1784674174460
67200,1920,1784674174500
69120,1920,1784674174541
71040,1920,1784674174582
72960,1920,1784674174622
74880,1920,1784674174664
76800,1920,1784674174703
78720,1920,1784674174743
80640,1920,1784674174784
82560,1920,1784674174823
84480,1920,1784674174863
86400,1920,1784674174904
88320,1920,1784674174943
90240,1920,1784674174984
92160,1920,1784674175024
94080,1920,1784674175064
96000,1920,1784674175105
97920,1920,1784674175144
99840,1920,1784674175185
101760,1920,1784674175223
103680,1920,1784674175265
105600,1920,1784674175304
107520,1920,1784674175345
109440,1920,1784674175383
111360,1920,1784674175423
113280,1920,1784674175464
115200,1920,1784674175503
117120,1920,1784674175545
119040,1920,1784674175584
120960,1920,1784674175623
122880,1920,1784674175663
124800,1920,1784674175701
126720,1920,1784674175740
128640,1920,1784674175780
130560,1920,1784674175820
132480,1920,1784674175863
134400,1920,1784674175903
136320,1920,1784674175943
138240,1920,1784674175984
140160,1920,1784674176024
142080,1920,1784674176063
144000,1920,1784674176103
145920,1920,1784674176145
147840,1920,1784674176183
149760,1920,1784674176224
151680,1920,1784674176264
153600,1920,1784674176305
155520,1920,1784674176343
157440,1920,1784674176385
159360,1920,1784674176424
161280,1920,1784674176465
163200,1920,1784674176504
165120,1920,1784674176545
167040,1920,1784674176585
168960,1920,1784674176624
170880,1920,1784674176663
172800,1920,1784674176704
174720,1920,1784674176745
176640,1920,1784674176784
178560,1920,1784674176825
180480,1920,1784674176864
182400,1920,1784674176904
184320,1920,1784674176944
186240,1920,1784674176983
188160,1920,1784674177024
190080,1920,1784674177065
192000,1920,1784674177102
193920,1920,1784674177143
195840,1920,1784674177183
197760,1920,1784674177222
199680,1920,1784674177264
201600,1920,1784674177304
203520,1920,1784674177342
205440,1920,1784674177384
207360,1920,1784674177424
209280,1920,1784674177465
211200,1920,1784674177503
213120,1920,1784674177545
215040,1920,1784674177584
216960,1920,1784674177624
218880,1920,1784674177662
220800,1920,1784674177703
222720,1920,1784674177744
224640,1920,1784674177783
226560,1920,1784674177823
228480,1920,1784674177863
230400,1920,1784674177903
232320,1920,1784674177944
234240,1920,1784674177983
236160,1920,1784674178024
238080,1920,1784674178063
240000,1920,1784674178106
241920,1920,1784674178145
243840,1920,1784674178183
245760,1920,1784674178224
247680,1920,1784674178263
249600,1920,1784674178303
251520,1920,1784674178343
253440,1920,1784674178383
