time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.018648,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018648,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018648,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018648,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018648,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059475,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059475,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059475,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059475,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059475,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100230,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100230,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100230,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100230,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100230,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.142000,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.142000,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.142000,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.142000,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.142000,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222909,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222909,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222909,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222909,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222909,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.263467,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.263467,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.263467,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.263467,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.263467,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.304824,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.304824,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.304824,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.304824,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.304824,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346212,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346212,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346212,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346212,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346212,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.386629,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.386629,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.386629,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.386629,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.386629,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.428149,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.428149,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.428149,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.428149,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.428149,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.468900,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.468900,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.468900,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.468900,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.468900,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.510057,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.510057,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.510057,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.510057,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.510057,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550474,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550474,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550474,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550474,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550474,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.591960,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.591960,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.591960,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.591960,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.591960,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.632769,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.632769,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.632769,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.632769,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.632769,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.673495,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.673495,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.673495,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.673495,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.673495,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.714864,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.714864,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.714864,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.714864,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
