timestamp_sec,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
5.083462,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.083462,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.083462,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.083462,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.083462,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.121088,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.121088,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.121088,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.121088,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.121088,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.159919,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.159919,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.159919,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.159919,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.159919,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200837,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200837,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200837,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200837,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.200837,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.244551,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.244551,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.244551,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.244551,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.244551,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.283158,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.283158,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.283158,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.283158,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.283158,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.324367,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.324367,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.324367,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.324367,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.324367,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.364611,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.364611,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.364611,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.364611,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.364611,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.405673,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.405673,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.405673,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.405673,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.405673,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.185112,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.185112,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.185112,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.185112,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
