timestamp_sec,event
0.002870,material:wood
10.726735,rec_start
16.270823,rec_end
37.095562,rec_start
37.506565,rec_end
38.541871,rec_start
39.594714,rec_end
40.310467,rec_start
40.310978,audio_touch_on
40.343742,audio_touch_off
41.359132,rec_end
43.012645,rec_start
43.841454,rec_end
44.738014,rec_start
46.621513,rec_end
92.424688,rec_start
93.147132,audio_touch_on
93.269776,audio_touch_off
93.746037,audio_touch_on
93.852041,audio_touch_off
93.958680,rec_end
95.226278,rec_start
96.104422,audio_touch_on
96.312338,audio_touch_off
97.078271,rec_end
