time_aligned,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
0.015192,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015192,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015192,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015192,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015192,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055701,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055701,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055701,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055701,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055701,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096430,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096430,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096430,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096430,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096430,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138030,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138030,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138030,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138030,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138030,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178610,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178610,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178610,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178610,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178610,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221326,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221326,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221326,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221326,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221326,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262750,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262750,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262750,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262750,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.262750,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.302202,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.302202,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.302202,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.302202,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.302202,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.344018,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.344018,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.344018,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.344018,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.344018,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.383491,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.383491,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.383491,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.383491,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.383491,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.424779,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.424779,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.424779,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.424779,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.424779,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465580,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465580,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465580,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465580,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.465580,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.506516,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.506516,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.506516,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.506516,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.506516,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.547564,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.547564,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.547564,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.547564,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.547564,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.588918,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.588918,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.588918,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.588918,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.588918,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.630998,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.630998,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.630998,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.630998,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.630998,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.671920,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.671920,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.671920,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.671920,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.671920,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712465,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712465,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712465,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712465,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712465,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.753310,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.753310,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.753310,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.753310,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.753310,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.794842,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.794842,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.794842,middle,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.794842,ring,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.794842,pinky,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.835044,thumb,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.835044,index,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
