timestamp_sec,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
4.867670,thumb,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,-1.919,-23.402,-11.373
4.867670,index,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,-1.187,-37.115,34.923
4.867670,middle,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,11.497,-46.481,35.428
4.867670,ring,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,25.124,-36.567,40.978
4.867670,pinky,Left,1,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,22.499,-16.922,46.997
4.905958,thumb,Left,1,-14.5355,47.6990,-230.8748,-0.375529,0.340033,2.382530,-2.464,-22.454,-10.031
4.905958,index,Left,1,-306.4761,-80.6042,159.1666,-0.045839,-0.479264,-1.802267,-0.200,-35.799,36.936
4.905958,middle,Left,1,-235.8782,-125.0328,-194.8781,-0.046299,-0.216341,0.063989,12.669,-44.470,34.755
4.905958,ring,Left,1,186.1841,238.6933,-170.4560,-0.201782,0.279820,1.305287,25.583,-37.686,38.737
4.905958,pinky,Left,1,275.6026,-35.4133,-114.7152,-0.341811,0.652259,1.875159,21.979,-18.502,45.553
4.944066,thumb,Left,1,81.0838,40.9698,-97.1979,-0.288733,0.475632,2.144445,-3.493,-23.179,-9.333
4.944066,index,Left,1,-96.8955,24.7407,116.5788,0.004892,-0.530279,-2.010358,0.036,-36.592,37.770
4.944066,middle,Left,1,-108.9418,-3.8132,-52.8626,-0.051537,-0.215649,0.109953,13.382,-44.726,34.570
4.944066,ring,Left,1,108.3326,183.9805,-56.9497,-0.254958,0.394069,1.558942,26.424,-38.932,37.741
4.944066,pinky,Left,1,130.8454,51.4695,-59.7385,-0.304072,0.776740,2.094550,22.642,-19.101,45.069
4.984796,thumb,Left,1,50.4018,35.6088,-96.0376,-0.352481,0.773287,2.810947,-4.183,-22.548,-8.011
4.984796,index,Left,1,-85.7100,6.1868,82.2906,0.078816,-0.678914,-2.467059,0.692,-35.847,39.181
